C_EGDA_M,C_cat_M,Q1_mL_min,Q2_mL_min,Q_total_mL_min,T_C,beta_model_weight,design_mode,eig_evaluated,eig_model,eig_param,governor_state,n_positions,rank,resource_penalty,round,scenario,screen_score,seed,selected,strategy,utility_total,z_positions_m
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,2.0352679823568636,NORMAL_LEARNING,10,2,0.0,4,S1_ideal,4.758289011561715,2,0,F,2.0352679823568636,0.3795;0.3942;0.4089;0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118
2.0,1.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,1.8603920316350377,NORMAL_LEARNING,10,3,0.0,4,S1_ideal,4.439215861580365,2,0,F,1.8603920316350377,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
1.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,4,S1_ideal,4.346231942267998,2,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,40.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,4,S1_ideal,4.033517379205094,2,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
1.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,4,S1_ideal,3.981669364131818,2,0,F,nan,0.3942;0.4089;0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,1.3132286939497884,NORMAL_LEARNING,10,1,0.0,5,S1_ideal,2.004580813167003,2,1,F,1.3132286939497884,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,1,0.0,1.0336085812658973,NORMAL_LEARNING,10,2,0.0,5,S1_ideal,1.9567487250769489,2,0,F,1.0336085812658973,0.0561;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,1.125467986378649,NORMAL_LEARNING,10,3,0.0,5,S1_ideal,1.943317709921395,2,0,F,1.125467986378649,0.0267;0.0414;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,5,S1_ideal,1.9403469864739833,2,0,F,nan,0.0561;0.0708;0.0855;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,5,S1_ideal,1.8695893728095285,2,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,5,S1_ideal,1.845548051829013,2,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,0.6274147168683041,NORMAL_LEARNING,10,1,0.0,6,S1_ideal,1.4482692389342162,2,0,F,0.6274147168683041,0.4236;0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559
2.0,2.0,4.0,4.0,8.0,160.0,1.0,eig,1,0.0,0.7550756000133819,NORMAL_LEARNING,10,2,0.0,6,S1_ideal,1.440291260358748,2,0,F,0.7550756000133819,0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706
2.0,0.1,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,0.8360015997696729,NORMAL_LEARNING,10,3,0.0,6,S1_ideal,1.4394362584744371,2,1,F,0.8360015997696729,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,6,S1_ideal,1.427778200987028,2,0,F,nan,0.1884;0.2031;0.2178;0.2325;0.2472;0.2619;0.2766;0.2913;0.306;0.3207
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,6,S1_ideal,1.3683577779183622,2,0,F,nan,0.0708;0.0855;0.1002;0.1149;0.1296;0.1443;0.159;0.1737;0.1884;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,6,S1_ideal,1.3650163279898138,2,0,F,nan,0.0855;0.1002;0.1149;0.1296;0.1443;0.159;0.1737;0.1884;0.2031;0.6
2.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,1,0.0,0.5756326015041598,NORMAL_LEARNING,10,1,0.0,7,S1_ideal,1.1873678187799044,2,1,F,0.5756326015041598,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,0.532781635123645,NORMAL_LEARNING,10,2,0.0,7,S1_ideal,1.0749515305106883,2,0,F,0.532781635123645,0.4383;0.453;0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,0.10383479529710186,NORMAL_LEARNING,10,3,0.0,7,S1_ideal,0.9488886322189032,2,0,F,0.10383479529710186,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,7,S1_ideal,0.9109590192694981,2,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,80.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,7,S1_ideal,0.8859023258593481,2,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,7,S1_ideal,0.8831995129067138,2,0,F,nan,0.0267;0.0414;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,0.3513024350487619,NORMAL_LEARNING,10,1,0.0,8,S1_ideal,0.9487247914747456,2,0,F,0.3513024350487619,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,140.0,1.0,eig,1,0.0,0.5666186414263322,NORMAL_LEARNING,10,2,0.0,8,S1_ideal,0.9106167339627689,2,1,F,0.5666186414263322,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,0.5150516498352922,NORMAL_LEARNING,10,3,0.0,8,S1_ideal,0.8822981355350308,2,0,F,0.5150516498352922,0.0267;0.0414;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,8,S1_ideal,0.8778334402329051,2,0,F,nan,0.0561;0.0708;0.0855;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,8,S1_ideal,0.850829262514857,2,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.159;0.5412;0.5559;0.5706;0.5853;0.6
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,8,S1_ideal,0.8414787089088236,2,0,F,nan,0.1002;0.1149;0.1296;0.1443;0.159;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.7113180870186238,NORMAL_LEARNING,10,1,0.0,2,S1_ideal,120.72946862269383,3,0,F,2.7113180870186238,0.012;0.0267;0.0414;0.0561;0.0855;0.1002;0.1149;0.5706;0.5853;0.6
2.0,1.0,1.0,1.0,2.0,160.0,1.0,eig,1,0.0,2.748190486396947,NORMAL_LEARNING,10,2,0.0,2,S1_ideal,120.66955898273486,3,1,F,2.748190486396947,0.0414;0.0561;0.0708;0.0855;0.1884;0.2031;0.2178;0.5706;0.5853;0.6
2.0,0.5,0.25,0.25,0.5,160.0,1.0,eig,1,0.0,2.6508060413801426,NORMAL_LEARNING,10,3,0.0,2,S1_ideal,120.65273067464437,3,0,F,2.6508060413801426,0.012;0.0267;0.0414;0.0708;0.0855;0.1002;0.1149;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,2,S1_ideal,120.25335727489751,3,0,F,nan,0.012;0.0267;0.0414;0.0561;0.0855;0.1002;0.1149;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,160.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,2,S1_ideal,120.24974153024284,3,0,F,nan,0.012;0.0267;0.0414;0.0561;0.0708;0.0855;0.4971;0.5118;0.5265;0.6
2.0,2.0,1.0,1.0,2.0,140.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,2,S1_ideal,120.24778749609422,3,0,F,nan,0.0561;0.0708;0.0855;0.1737;0.1884;0.2031;0.2178;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,100.0,1.0,eig,1,0.0,2.7046283073315442,NORMAL_LEARNING,10,1,0.0,3,S1_ideal,15.811698268353705,3,0,F,2.7046283073315442,0.1737;0.1884;0.2031;0.2178;0.2325;0.2913;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,80.0,1.0,eig,1,0.0,2.5295174274484524,NORMAL_LEARNING,10,2,0.0,3,S1_ideal,15.53774759551273,3,0,F,2.5295174274484524,0.2913;0.306;0.3354;0.3795;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,120.0,1.0,eig,1,0.0,2.7397803459827874,NORMAL_LEARNING,10,3,0.0,3,S1_ideal,15.095628548250463,3,1,F,2.7397803459827874,0.0855;0.1002;0.1149;0.1296;0.1443;0.5412;0.5559;0.5706;0.5853;0.6
2.0,2.0,0.25,0.25,0.5,60.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,4,nan,3,S1_ideal,14.92244715718218,3,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,80.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,5,nan,3,S1_ideal,14.47688287367767,3,0,F,nan,0.4677;0.4824;0.4971;0.5118;0.5265;0.5412;0.5559;0.5706;0.5853;0.6
2.0,1.0,0.25,0.25,0.5,100.0,1.0,eig,0,nan,nan,NORMAL_LEARNING,10,6,nan,3,S1_ideal,14.308909472558586,3,0,F,nan,0.306;0.3354;0.3501;0.3648;0.4236;0.5412;0.5559;0.5706;0.5853;0.6
