basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,0.11836282401553994,0.11836282401553994,0.11836282401553992,0.11836282401553994,egda_mol,0,40,40,40,0.11836282401553994,0.11836282401553994,8,S1_ideal,A
locf,0.11836282401553994,0.11836282401553994,0.11836282401553992,0.11836282401553994,egda_mol,0,40,40,40,0.11836282401553994,0.11836282401553994,8,S1_ideal,A
observed,135.6466335148864,135.6466335148864,135.6466335148864,135.6466335148864,energy_kJ,0,40,40,40,135.6466335148864,135.6466335148864,8,S1_ideal,A
locf,135.6466335148864,135.6466335148864,135.6466335148864,135.6466335148864,energy_kJ,0,40,40,40,135.6466335148864,135.6466335148864,8,S1_ideal,A
observed,8.0,8.0,8.0,8.0,nmr_acquisitions,0,40,40,40,8.0,8.0,8,S1_ideal,A
locf,8.0,8.0,8.0,8.0,nmr_acquisitions,0,40,40,40,8.0,8.0,8,S1_ideal,A
observed,8.0,8.0,8.0,8.0,spatial_samples,0,40,40,40,8.0,8.0,8,S1_ideal,A
locf,8.0,8.0,8.0,8.0,spatial_samples,0,40,40,40,8.0,8.0,8,S1_ideal,A
observed,331.79281463208446,208.7024558888649,280.66009658523205,261.47205734659,param_err_pct,0,40,40,40,191.40040894689736,349.153627330771,1,S1_ideal,B
locf,331.870105442484,209.08947397505221,280.66009658523205,261.47205734659,param_err_pct,0,40,40,40,191.40040894689736,349.153627330771,1,S1_ideal,B
observed,0.1493579012196245,0.11933768764328553,0.13492512840190693,0.13326050019292918,blind_rmse_M,0,40,40,40,0.11574813729752666,0.1551333353801691,1,S1_ideal,B
locf,0.14946907212080068,0.11933768764328553,0.13492512840190693,0.13326050019292918,blind_rmse_M,0,40,40,40,0.11574813729752666,0.1551333353801691,1,S1_ideal,B
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,B
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,1,S1_ideal,B
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,B
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,1,S1_ideal,B
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,B
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,1,S1_ideal,B
observed,2375.442360233099,2375.442360233099,2375.442360233099,2375.442360233099,time_s,0,40,40,40,2375.442360233099,2375.442360233099,1,S1_ideal,B
locf,2375.442360233099,2375.442360233099,2375.442360233099,2375.442360233099,time_s,0,40,40,40,2375.442360233099,2375.442360233099,1,S1_ideal,B
observed,0.019795353001942483,0.019795353001942483,0.019795353001942483,0.019795353001942483,egda_mol,0,40,40,40,0.019795353001942483,0.019795353001942483,1,S1_ideal,B
locf,0.019795353001942483,0.019795353001942483,0.019795353001942483,0.019795353001942483,egda_mol,0,40,40,40,0.019795353001942483,0.019795353001942483,1,S1_ideal,B
observed,2.4823372664435874,2.4823372664435874,2.4823372664435874,2.4823372664435874,energy_kJ,0,40,40,40,2.4823372664435874,2.4823372664435874,1,S1_ideal,B
locf,2.4823372664435874,2.4823372664435874,2.4823372664435874,2.4823372664435874,energy_kJ,0,40,40,40,2.4823372664435874,2.4823372664435874,1,S1_ideal,B
observed,10.0,10.0,10.0,10.0,nmr_acquisitions,0,40,40,40,10.0,10.0,1,S1_ideal,B
locf,10.0,10.0,10.0,10.0,nmr_acquisitions,0,40,40,40,10.0,10.0,1,S1_ideal,B
observed,10.0,10.0,10.0,10.0,spatial_samples,0,40,40,40,10.0,10.0,1,S1_ideal,B
locf,10.0,10.0,10.0,10.0,spatial_samples,0,40,40,40,10.0,10.0,1,S1_ideal,B
