x_m,tau_s,X_EGDA,Y_EGMA,Y_EG
4.35000000e-02,3.27982273e+01,9.73430665e-01,2.37882491e-01,7.35548174e-01
4.38000000e-02,3.30244220e+01,9.74047265e-01,2.35461377e-01,7.38585888e-01
4.41000000e-02,3.32506166e+01,9.74648703e-01,2.33062613e-01,7.41586090e-01
4.44000000e-02,3.34768113e+01,9.75235362e-01,2.30686230e-01,7.44549132e-01
4.47000000e-02,3.37030060e+01,9.75807616e-01,2.28332248e-01,7.47475368e-01
4.50000000e-02,3.39292007e+01,9.76365827e-01,2.26000678e-01,7.50365149e-01
4.53000000e-02,3.41553953e+01,9.76910351e-01,2.23691523e-01,7.53218829e-01
4.56000000e-02,3.43815900e+01,9.77441533e-01,2.21404775e-01,7.56036758e-01
4.59000000e-02,3.46077847e+01,9.77959709e-01,2.19140418e-01,7.58819291e-01
4.62000000e-02,3.48339793e+01,9.78465206e-01,2.16898429e-01,7.61566777e-01
4.65000000e-02,3.50601740e+01,9.78958345e-01,2.14678776e-01,7.64279569e-01
4.68000000e-02,3.52863687e+01,9.79439436e-01,2.12481420e-01,7.66958016e-01
4.71000000e-02,3.55125634e+01,9.79908782e-01,2.10306314e-01,7.69602468e-01
4.74000000e-02,3.57387580e+01,9.80366679e-01,2.08153406e-01,7.72213273e-01
4.77000000e-02,3.59649527e+01,9.80813414e-01,2.06022636e-01,7.74790779e-01
4.80000000e-02,3.61911474e+01,9.81249269e-01,2.03913937e-01,7.77335332e-01
4.83000000e-02,3.64173420e+01,9.81674516e-01,2.01827238e-01,7.79847279e-01
4.86000000e-02,3.66435367e+01,9.82089422e-01,1.99762460e-01,7.82326962e-01
4.89000000e-02,3.68697314e+01,9.82494246e-01,1.97719521e-01,7.84774725e-01
4.92000000e-02,3.70959261e+01,9.82889241e-01,1.95698333e-01,7.87190908e-01
4.95000000e-02,3.73221207e+01,9.83274653e-01,1.93698801e-01,7.89575852e-01
4.98000000e-02,3.75483154e+01,9.83650723e-01,1.91720828e-01,7.91929894e-01
5.01000000e-02,3.77745101e+01,9.84017684e-01,1.89764312e-01,7.94253372e-01
5.04000000e-02,3.80007047e+01,9.84375764e-01,1.87829145e-01,7.96546619e-01
5.07000000e-02,3.82268994e+01,9.84725185e-01,1.85915216e-01,7.98809969e-01
5.10000000e-02,3.84530941e+01,9.85066165e-01,1.84022412e-01,8.01043753e-01
5.13000000e-02,3.86792888e+01,9.85398913e-01,1.82150613e-01,8.03248300e-01
5.16000000e-02,3.89054834e+01,9.85723636e-01,1.80299698e-01,8.05423938e-01
5.19000000e-02,3.91316781e+01,9.86040533e-01,1.78469542e-01,8.07570991e-01
5.22000000e-02,3.93578728e+01,9.86349800e-01,1.76660017e-01,8.09689783e-01
5.25000000e-02,3.95840674e+01,9.86651627e-01,1.74870991e-01,8.11780636e-01
5.28000000e-02,3.98102621e+01,9.86946200e-01,1.73102332e-01,8.13843867e-01
5.31000000e-02,4.00364568e+01,9.87233699e-01,1.71353903e-01,8.15879795e-01
5.34000000e-02,4.02626514e+01,9.87514299e-01,1.69625565e-01,8.17888734e-01
5.37000000e-02,4.04888461e+01,9.87788174e-01,1.67917178e-01,8.19870995e-01
5.40000000e-02,4.07150408e+01,9.88055489e-01,1.66228598e-01,8.21826891e-01
5.43000000e-02,4.09412355e+01,9.88316408e-01,1.64559681e-01,8.23756727e-01
