strategy,round,n_experiments,n_data,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,k1_ref,Ea1_kJ,k2_ref,Ea2_kJ,K1_ref,K2_ref,sigma_lnk1,sigma_Ea1_kJ,sigma_lnk2,sigma_Ea2_kJ,sigma_lnK1,sigma_lnK2,logdet_F,d_criterion,max_rel_ci_pct,mean_rel_err_pct
C,9,9,36,106.42786993771882,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.072947e-03,3.912294e+01,5.827171e-04,4.933539e+01,1.181995e+00,7.252693e-02,3.8971e-02,6.2484e-01,1.0624e-01,1.5215e+00,3.8378e+00,1.1570e-01,18.6020,2.1221e-01,184749.663,9.594
C,10,10,40,160.0,0.2,1.0,1.0,1.072930e-03,3.912352e+01,5.821715e-04,4.936558e+01,1.168569e+00,7.008231e-02,3.8971e-02,6.2385e-01,1.0632e-01,1.5226e+00,3.2340e+00,9.7368e-02,19.4751,1.9732e-01,56501.752,8.787
C,11,11,44,159.9999641990788,0.44598976200384227,0.9999417078278859,0.7468233024117225,1.071075e-03,3.916411e+01,5.960981e-04,4.883894e+01,1.030048e+00,7.214976e-02,3.7336e-02,5.6562e-01,1.0320e-01,1.4148e+00,2.7177e+00,9.6380e-02,20.4274,1.8227e-01,20473.880,6.126
C,12,12,48,107.01453006672052,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.070858e-03,3.916654e+01,6.162290e-04,4.843817e+01,1.029711e+00,7.216870e-02,3.3265e-02,5.2651e-01,9.0208e-02,1.2787e+00,2.7165e+00,9.6420e-02,21.0264,1.7339e-01,20428.307,5.465
C,13,13,52,160.0,0.2,1.0,1.0,1.070519e-03,3.915342e+01,6.168230e-04,4.841536e+01,6.180116e+00,7.523940e-02,3.3186e-02,5.2472e-01,9.0112e-02,1.2765e+00,1.4623e+01,8.9842e-02,17.9839,2.2343e-01,279864685790979.938,101.550
C,14,14,56,159.9999643018812,0.44142287046367135,0.9999418752139319,0.7466930406067946,1.075320e-03,3.905538e+01,6.132989e-04,4.854341e+01,6.180116e+00,7.471073e-02,3.2172e-02,4.8831e-01,8.8327e-02,1.2121e+00,1.4282e+01,8.5340e-02,18.5466,2.1319e-01,143563034485996.406,101.680
C,15,15,60,106.8979541300115,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.042694e-03,3.942827e+01,6.292744e-04,4.823329e+01,6.180116e+00,7.472076e-02,2.9540e-02,4.6364e-01,8.0329e-02,1.1282e+00,1.4279e+01,8.5345e-02,18.9801,2.0563e-01,142839101132269.656,100.466
C,16,16,64,160.0,0.2,1.0,1.0,1.042802e-03,3.942602e+01,6.289678e-04,4.824992e+01,6.180116e+00,7.313022e-02,2.9540e-02,4.6317e-01,8.0363e-02,1.1287e+00,1.3079e+01,7.7399e-02,19.4524,1.9769e-01,13596562221868.938,100.104
C,17,17,68,159.9999642835234,0.44293121080539577,0.9999418453232037,0.7466434099890893,1.045820e-03,3.936242e+01,6.294823e-04,4.823143e+01,6.180116e+00,7.325677e-02,2.8858e-02,4.3836e-01,7.9183e-02,1.0859e+00,1.2817e+01,7.5328e-02,19.8740,1.9087e-01,8133142638132.199,100.191
C,18,18,72,107.11953968286323,0.20004189669646416,0.9999405037347833,0.9999405037347833,1.045712e-03,3.936366e+01,6.311286e-04,4.820000e+01,6.180116e+00,7.325748e-02,2.6855e-02,4.1928e-01,7.3130e-02,1.0225e+00,1.2817e+01,7.5329e-02,20.2363,1.8519e-01,8130617958160.469,100.136
