scenario,strategy,seed,acquisition_index,reacquisition,z_m,z_over_L,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,T_line_C,transfer_enabled,mean_tau_line_s,species,c_reactor_true_M,c_cell_true_M,c_measured_M,sigma_M,transport_delta_M,quantification_delta_M,total_delta_M,transport_delta_sigma,quantification_delta_sigma,qc_flags
S3_transport,B,7,19,0,0.18,0.8999999999999999,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.020911035845359992,0.02124092615464433,0.01464038717524731,0.006083028059547862,0.0003298903092843371,-0.00660053897939702,-0.0062706486701126826,0.054231265424880694,-1.0850745574051524,WARN nonnegativity active: EGMA
S3_transport,B,7,20,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.47713243952296935,0.4768097992444862,0.4751009214410135,0.010183361037631393,-0.0003226402784831661,-0.0017088778034726748,-0.002031518081955841,-0.03168308354097312,-0.1678107843920805,
S3_transport,B,7,20,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.022520482730333413,0.022836818625490588,0.02332440362958681,0.01193943526234383,0.000316335895157175,0.0004875850040962221,0.0008039208992533971,0.02649504672594331,0.0408381965631182,
S3_transport,B,7,20,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,EG,0.0003470777466972911,0.00035338213002333716,9.464904432390721e-05,0.00225128807893892,6.3043833260460346e-06,-0.00025873308569942995,-0.0002524287023733839,0.0028003450047216637,-0.11492668935615578,
S3_transport,B,7,20,0,0.2,1.0,60.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.023214638223728025,0.02354358288553729,0.01446927549491969,0.006226401437468358,0.0003289446618092648,-0.0090743073906176,-0.008745362728808334,0.05283062216801315,-1.4573919593445286,
S3_transport,B,7,21,0,0.02,0.09999999999999999,70.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.49650371301771695,0.4960519251937488,0.4906581593812079,0.010466969515501575,-0.00045178782396815276,-0.005393765812540918,-0.005845553636509071,-0.043163192870587355,-0.515313033495775,WARN nonnegativity active: AcOH
S3_transport,B,7,21,0,0.02,0.09999999999999999,70.0,1.0,1.0,0.5,25.0,1,18.0,EGMA,0.003487617535529635,0.003937822183215447,0.0015736475796588017,0.011460420439294386,0.0004502046476858117,-0.002364174603556645,-0.0019139699558708334,0.039283432058233515,-0.2062903901370486,WARN nonnegativity active: AcOH
S3_transport,B,7,21,0,0.02,0.09999999999999999,70.0,1.0,1.0,0.5,25.0,1,18.0,EG,8.669446753421796e-06,1.0252623035765377e-05,-0.00020547771427708564,0.0024378175498844376,1.5831762823435808e-06,-0.00021573033731285101,-0.00021414716103050743,0.0006494236135180132,-0.08849322514848476,WARN nonnegativity active: AcOH
S3_transport,B,7,21,0,0.02,0.09999999999999999,70.0,1.0,1.0,0.5,25.0,1,18.0,AcOH,0.003504956429036477,0.003958327429286976,-0.00022445737519570042,0.006346429607965365,0.000453371000250499,-0.004182784804482677,-0.0037294138042321774,0.07143717464091555,-0.6590768452285186,WARN nonnegativity active: AcOH
S3_transport,B,7,22,0,0.04,0.19999999999999998,70.0,1.0,1.0,0.5,25.0,1,18.0,EGDA,0.4930321148249603,0.49275619942907967,0.4973663909661204,0.010551979468618654,-0.00027591539588062153,0.004610191537040731,0.004334276141160109,-0.02614821197304142,0.436903004858125,"WARN nonnegativity active: EGMA,AcOH"
