scenario,strategy,seed,event_index,event_kind,d_time_s,d_egda_mol,d_acid_mol,d_liquid_mL,d_waste_mL,d_sample_mL,d_nmr_acquisitions,d_nmr_reacquisitions,d_qc_rejected,d_capillary_travel_m,d_condition_changes,d_temperature_changes,d_energy_kJ,d_reactor_conditions,d_spatial_samples,cum_time_s,cum_egda_mol,cum_acid_mol,cum_liquid_mL,cum_waste_mL,cum_sample_mL,cum_nmr_acquisitions,cum_nmr_reacquisitions,cum_qc_rejected,cum_capillary_travel_m,cum_condition_changes,cum_temperature_changes,cum_energy_kJ,cum_reactor_conditions,cum_spatial_samples
S3_transport,E,7,29,acquisition,153.30356597811263,0.0006387648582421359,0.0006387648582421359,1.2775297164842718,2.027529716484272,0.75,1.0,0.0,0.0,0.12661599999999998,0.0,0.0,0.7209100190120745,0.0,1.0,7855.925435897126,0.038985458499047894,0.017907961844692847,77.97091699809579,97.47091699809579,19.5,26.0,0.0,0.0,0.6903119999999998,2.0,2.0,87.32285089600958,3.0,26.0
S3_transport,E,7,30,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.4370294990120746,0.0,1.0,7948.861001875238,0.0393726900239567,0.01829519336960165,78.7453800479134,98.9953800479134,20.25,27.0,0.0,0.0,0.6961919999999998,2.0,2.0,87.75988039502165,3.0,27.0
S3_transport,E,7,31,acquisition,92.54356597811264,0.0003855981915754693,0.0003855981915754693,0.7711963831509386,1.5211963831509385,0.75,1.0,0.0,0.0,0.005096000000000017,0.0,0.0,0.43518611901207466,0.0,1.0,8041.40456785335,0.03975828821553217,0.018680791561177117,79.51657643106434,100.51657643106434,21.0,28.0,0.0,0.0,0.7012879999999998,2.0,2.0,88.19506651403373,3.0,28.0
S3_transport,E,7,32,acquisition,92.15156597811263,0.00038396485824213593,0.00038396485824213593,0.7679297164842719,1.5179297164842718,0.75,1.0,0.0,0.0,0.0043119999999999825,0.0,0.0,0.43334273901207454,0.0,1.0,8133.556133831463,0.04014225307377431,0.019064756419419255,80.28450614754861,102.03450614754861,21.75,29.0,0.0,0.0,0.7055999999999998,2.0,2.0,88.6284092530458,3.0,29.0
S3_transport,E,7,33,acquisition,92.15156597811266,0.00038396485824213604,0.00038396485824213604,0.7679297164842721,1.517929716484272,0.75,1.0,0.0,0.0,0.004312000000000038,0.0,0.0,0.43334273901207465,0.0,1.0,8225.707699809576,0.040526217932016446,0.019448721277661393,81.05243586403289,103.55243586403289,22.5,30.0,0.0,0.0,0.7099119999999999,2.0,2.0,89.06175199205788,3.0,30.0
S3_transport,E,7,34,condition_change,2308.3538881864793,0.009618141200776996,0.009618141200776996,19.236282401553993,19.236282401553993,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.03057453288718,1.0,0.0,10534.061587996055,0.05014435913279344,0.02906686247843839,100.28871826558688,122.78871826558688,22.5,30.0,0.0,0.0,0.7099119999999999,3.0,3.0,125.09232652494507,4.0,30.0
S3_transport,E,7,35,acquisition,114.49556597811267,0.00047706485824213613,0.00047706485824213613,0.9541297164842723,1.7041297164842721,0.75,1.0,0.0,0.0,0.049000000000000044,0.0,0.0,0.29911966611781937,0.0,1.0,10648.557153974169,0.05062142399103558,0.029543927336680525,101.24284798207115,124.49284798207115,23.25,31.0,0.0,0.0,0.7589119999999999,3.0,3.0,125.39144619106288,4.0,31.0
S3_transport,E,7,36,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.24279416611781923,0.0,1.0,10741.49271995228,0.051008655515944384,0.029931158861589327,102.01731103188877,126.01731103188877,24.0,32.0,0.0,0.0,0.7647919999999999,3.0,3.0,125.6342403571807,4.0,32.0
S3_transport,E,7,37,acquisition,92.93556597811265,0.0003872315249088027,0.0003872315249088027,0.7744630498176054,1.5244630498176053,0.75,1.0,0.0,0.0,0.005880000000000024,0.0,0.0,0.24279416611781926,0.0,1.0,10834.428285930393,0.05139588704085319,0.03031839038649813,102.79177408170638,127.54177408170638,24.75,33.0,0.0,0.0,0.7706719999999999,3.0,3.0,125.87703452329852,4.0,33.0
S3_transport,E,7,38,acquisition,92.93556597811263,0.00038723152490880266,0.00038723152490880266,0.7744630498176053,1.5244630498176053,0.75,1.0,0.0,0.0,0.005879999999999996,0.0,0.0,0.24279416611781923,0.0,1.0,10927.363851908505,0.051783118565761996,0.03070562191140693,103.56623713152399,129.066237131524,25.5,34.0,0.0,0.0,0.7765519999999999,3.0,3.0,126.11982868941634,4.0,34.0
