scenario,strategy,seed,round,candidate_rank,candidate_selected,governor_state,design_mode,spatial_mode,T_C,Q_total_mL_min,C_EGDA_M,C_cat_M,n_positions_selected,row_kind,z_m,z_over_L,marginal_gain_nats,is_selected_position,selection_order,realized_gain_nats
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0334,0.16699999999999998,57.09703399362043,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.03536,0.1768,57.24902811304863,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.037320000000000006,0.18660000000000002,57.38586722121003,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.039279999999999995,0.19639999999999996,57.50911967766807,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.04124,0.2062,57.6201145575937,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0432,0.216,57.71998741954979,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.045160000000000006,0.22580000000000003,57.80971554770237,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.047119999999999995,0.23559999999999998,57.89014553823608,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.04908,0.24539999999999998,57.96201580848793,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.05104,0.2552,58.02597347195638,1,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.053000000000000005,0.265,58.08258919390508,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.054959999999999995,0.27479999999999993,58.1323683521141,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.05692,0.28459999999999996,58.17576083895328,1,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.05888,0.2944,58.21316878881704,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.060840000000000005,0.3042,58.244953136926384,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0628,0.31399999999999995,58.271439403106854,1,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.06476,0.3238,58.29292149223998,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.06672,0.3336,58.30966683991983,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.06868,0.3434,58.32191916848285,1,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.07064000000000001,0.3532,58.329900182218346,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0726,0.363,58.33381438902269,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.07456,0.37279999999999996,58.33384961749875,1,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.07652,0.3826,58.330178420434386,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.07848,0.39239999999999997,58.32296076776597,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.08044,0.40219999999999995,58.31234618206158,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0824,0.412,58.29847182527574,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.08436,0.4218,58.28146707238606,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.08632000000000001,0.43160000000000004,58.26145097732673,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.08828,0.44139999999999996,58.23853791848408,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.09024,0.4512,58.21283272678381,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.0922,0.461,58.18443541536692,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.09416,0.47079999999999994,58.153439931657964,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.09612,0.48059999999999997,58.1199333718574,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.09808,0.4904,58.084003273383715,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10004,0.5002,58.045725694393596,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10200000000000001,0.51,58.00517783396248,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10396,0.5197999999999999,57.962402382593645,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10592,0.5296,57.917501693261464,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10788,0.5394,57.87054164162276,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.10984,0.5491999999999999,57.82158288463317,0,-1,nan
S3_transport,E,7,2,1,1,,fim,optimized,130.0,0.5,1.0,0.1,10,candidate_z,0.1118,0.5589999999999999,57.77068577214538,0,-1,nan
