scenario,strategy,seed,round,acquisition_order,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,z_m,z_over_L,species,c_measured_M,sigma_M,sigma_source,ci95_lo_M,ci95_hi_M,censored,qc_flags,observation_mode,best_model,c_model_observed_M,c_model_reactor_M,residual_M,standardized_residual,c_true_reactor_M,error_vs_true_M,cov_M2_with_EGDA,cov_M2_with_EGMA,cov_M2_with_EG,cov_M2_with_AcOH
S3_transport,B,7,1,3,40.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.001216466371629577,0.001216466371629577,0.000347727157365764,nan,0.0029161291909257526,-0.0013519356619304116,,,,
S3_transport,B,7,1,3,40.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,EG,0.0007033490659350973,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,2.1816399367354232e-08,2.1816399367354232e-08,0.0007033272495357299,nan,4.624140663998433e-06,0.0006987249252710988,,,,
S3_transport,B,7,1,3,40.0,0.5,0.5,1.0,1.0,0.5,0.06000000000000001,0.30000000000000004,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.0012165100044283117,0.0012165100044283117,-0.0014409673796240122,nan,0.0029253774722537503,-0.0031498348474494507,,,,
S3_transport,B,7,1,4,40.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,EGDA,0.48438374225851966,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.49837868024384313,0.49837868024384313,-0.013994937985323475,nan,0.4961094960230596,-0.011725753764539937,,,,
S3_transport,B,7,1,4,40.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.0016212809822976014,0.0016212809822976014,-5.7087453302260465e-05,nan,0.0038822916758121215,-0.0023180981468167803,,,,
S3_transport,B,7,1,4,40.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,EG,0.00015890986544162683,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,3.87738593537688e-08,3.87738593537688e-08,0.00015887109158227306,nan,8.212301128238034e-06,0.0001506975643133888,,,,
S3_transport,B,7,1,4,40.0,0.5,0.5,1.0,1.0,0.5,0.08,0.39999999999999997,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.0016213585300163089,0.0016213585300163089,-0.0018458159052120093,nan,0.0038987162780685907,-0.004123173653264291,,,,
S3_transport,B,7,1,5,40.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,EGDA,0.4900602050304145,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,0.4979741804607005,0.4979741804607005,-0.007913975430286047,nan,0.495141656045397,-0.00508145101498253,,,,
S3_transport,B,7,1,5,40.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,EGMA,0.008885541542891335,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,0.0020257589721778125,0.0020257589721778125,0.006859782570713522,nan,0.004845525337881289,0.004040016205010046,,,,
S3_transport,B,7,1,5,40.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,EG,0.0005087476078927612,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: AcOH,nmr,wls,6.056712170547597e-08,6.056712170547597e-08,0.0005086870407710558,nan,1.2818616721643331e-05,0.0004959289911711179,,,,
S3_transport,B,7,1,5,40.0,0.5,0.5,1.0,1.0,0.5,0.1,0.5,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: AcOH,nmr,wls,0.002025880106421223,0.002025880106421223,-0.0022503374816169232,nan,0.004871162571324544,-0.005095619946520245,,,,
S3_transport,B,7,1,6,40.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,EGDA,0.5017957789528582,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.4975700121864211,0.4975700121864211,0.0042257667664371,nan,0.49417572300761947,0.007620055945238735,,,,
S3_transport,B,7,1,6,40.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.002429900621490735,0.002429900621490735,-0.0008657070924953942,nan,0.005805837035750559,-0.004241643506755218,,,,
S3_transport,B,7,1,6,40.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,EG,-0.00029429954478771845,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,8.71920882352659e-08,8.71920882352659e-08,-0.0002943867368759537,nan,1.8439956630052338e-05,-0.0003127395014177708,,,,
S3_transport,B,7,1,6,40.0,0.5,0.5,1.0,1.0,0.5,0.12000000000000002,0.6000000000000001,AcOH,-0.00022445737519570042,nan,assumed_noise_model,nan,nan,1,"WARN nonnegativity active: EGMA,AcOH",nmr,wls,0.0024300750056672053,0.0024300750056672053,-0.0026545323808629057,nan,0.005842716949010603,-0.006067174324206304,,,,
S3_transport,B,7,1,7,40.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,EGDA,0.4847358365184279,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.49716617514512274,0.49716617514512274,-0.012430338626694848,nan,0.4932116931890168,-0.008475856670588922,,,,
S3_transport,B,7,1,7,40.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: EGMA,nmr,wls,0.002833706210213118,0.002833706210213118,-0.0012695126812177768,nan,0.006763233614435411,-0.00519904008544007,,,,
S3_transport,B,7,1,7,40.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,EG,8.063247169990805e-05,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,1.1864466424675524e-07,1.1864466424675524e-07,8.05138270356613e-05,nan,2.5073196547846844e-05,5.555927515206121e-05,,,,
S3_transport,B,7,1,7,40.0,0.5,0.5,1.0,1.0,0.5,0.14,0.7000000000000001,AcOH,0.0001700897057084344,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.002833943499541611,0.002833943499541611,-0.0026638537938331766,nan,0.006813380007531033,-0.006643290301822599,,,,
S3_transport,B,7,1,8,40.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,EGDA,0.4798134443663225,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.4967626690611542,0.4967626690611542,-0.016949224694831677,nan,0.49224956287587385,-0.012436118509551342,,,,
S3_transport,B,7,1,8,40.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,EGMA,0.012252268275875545,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.003237176018087492,0.003237176018087492,0.009015092257788054,nan,0.007717721905521201,0.004534546370354344,,,,
S3_transport,B,7,1,8,40.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,EG,0.0005094949188591039,nan,assumed_noise_model,nan,nan,0,,nmr,wls,1.549207583975896e-07,1.549207583975896e-07,0.0005093399981007063,nan,3.271521860494423e-05,0.00047677970025415965,,,,
S3_transport,B,7,1,8,40.0,0.5,0.5,1.0,1.0,0.5,0.16,0.7999999999999999,AcOH,-0.00013269782982957797,nan,assumed_noise_model,nan,nan,0,,nmr,wls,0.0032374858596042866,0.0032374858596042866,-0.0033701836894338647,nan,0.007783152342731019,-0.007915850172560596,,,,
S3_transport,B,7,1,9,40.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,EGDA,0.4941429466453502,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.4963594936591025,0.4963594936591025,-0.0022165470137522902,nan,0.4912893283615274,0.002853618283822801,,,,
S3_transport,B,7,1,9,40.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: EGMA,nmr,wls,0.0036403103246148145,0.0036403103246148145,-0.0020761167956194733,nan,0.008669308727063474,-0.0071051151980681335,,,,
S3_transport,B,7,1,9,40.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,EG,-0.0003429697396524767,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,1.9601628280496566e-07,1.9601628280496566e-07,-0.00034316575593528164,nan,4.136291140918008e-05,-0.00038433265106165677,,,,
S3_transport,B,7,1,9,40.0,0.5,0.5,1.0,1.0,0.5,0.18,0.8999999999999999,AcOH,3.590741354008386e-05,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.0036407023571804237,0.0036407023571804237,-0.00360479494364034,nan,0.008752034549881767,-0.008716127136341683,,,,
S3_transport,B,7,1,10,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGDA,0.48212832150294616,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.4959566486637904,0.4959566486637904,-0.013828327160844256,nan,0.490330985946404,-0.008202664443457852,,,,
S3_transport,B,7,1,10,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EGMA,0.001564193528995341,nan,assumed_noise_model,nan,nan,1,WARN nonnegativity active: EGMA,nmr,wls,0.004043109409056645,0.004043109409056645,-0.002478915880061304,nan,0.009618000883521372,-0.008053807354526031,,,,
S3_transport,B,7,1,10,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,EG,-0.0002145380429299672,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,2.4192715301459246e-07,2.4192715301459246e-07,-0.0002147799700829818,nan,5.1013170074633604e-05,-0.0002655512130046008,,,,
S3_transport,B,7,1,10,40.0,0.5,0.5,1.0,1.0,0.5,0.2,1.0,AcOH,0.0010201481219515032,nan,assumed_noise_model,nan,nan,0,WARN nonnegativity active: EGMA,nmr,wls,0.0040435932633626735,0.0040435932633626735,-0.0030234451414111706,nan,0.00972002722367057,-0.008699879101719068,,,,
S3_transport,B,7,2,11,60.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,EGDA,0.49152524006558956,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EG,AcOH",nmr,wls,0.4986284609076716,0.4986284609076716,-0.007103220842082036,nan,0.49766427441832223,-0.006139034352732664,,,,
S3_transport,B,7,2,11,60.0,0.5,0.5,1.0,1.0,0.5,0.02,0.09999999999999999,EGMA,0.008015548199310538,nan,assumed_noise_model,nan,nan,0,"WARN nonnegativity active: EG,AcOH",nmr,wls,0.0013714152587668204,0.0013714152587668204,0.006644132940543717,nan,0.0023321719635273686,0.005683376235783169,,,,
