scenario,strategy,seed,round,param_i,param_j,is_diagonal,cov_scaled,corr,estimate_i_natural,sigma_i_scaled,bound_active_i
S3_transport,A,7,7,Ea2_J,Ea2_J,1,500.08635173375313,1.0000000000000002,60121.27963642237,22.362610575103997,0
S3_transport,A,7,7,Ea2_J,K1_ref,0,3.550804914290339,0.030596755505068594,60121.27963642237,22.362610575103997,0
S3_transport,A,7,7,Ea2_J,K2_ref,0,-86.73857545696855,-0.908363095417436,60121.27963642237,22.362610575103997,0
S3_transport,A,7,7,K1_ref,K1_ref,1,26.931334263577714,0.9999999999999999,0.06180116182738337,5.189540852867209,1
S3_transport,A,7,7,K1_ref,K2_ref,0,0.9015434288151971,0.04068435305414818,0.06180116182738337,5.189540852867209,1
S3_transport,A,7,7,K2_ref,K2_ref,1,18.233103841197057,1.0,0.015450290456825798,4.270023868925917,1
S3_transport,A,7,8,k1_ref,k1_ref,1,0.004398235396355282,0.9999999999999998,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,k1_ref,Ea1_J,0,-0.08619412817871282,-0.9426675132357136,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,k1_ref,k2_ref,0,-0.0004063086532013634,-0.00875141466402159,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,k1_ref,Ea2_J,0,0.012704112240731409,0.01728870144751164,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,k1_ref,K1_ref,0,0.06841692849260526,0.6410333680422952,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,k1_ref,K2_ref,0,0.0030838414210106924,0.062286079437779515,0.0008773819259214003,0.06631919327280213,0
S3_transport,A,7,8,Ea1_J,Ea1_J,1,1.9009023709678958,1.0,41574.59784493762,1.3787321607070373,0
S3_transport,A,7,8,Ea1_J,k2_ref,0,0.008022199798542507,0.008311415489588272,41574.59784493762,1.3787321607070373,0
