scenario,strategy,seed,round,param,unit,estimate_natural,sigma_scaled,ci95_lo_natural,ci95_hi_natural,rel_ci95_width_pct,bound_active,bound_lo_natural,bound_hi_natural,true_value_natural,rel_error_pct_vs_truth,covered_by_ci95
S3_transport,C,7,4,Ea1_J,J_per_mol,39788.979162554366,1.2094560723062675,37418.44526083408,42159.51306427465,11.915530137305996,0,20000.0,120000.0,40000.0,0.527552093614081,1.0
S3_transport,C,7,4,k2_ref,L_per_mol_s,0.0004502585853357595,0.1633225978636268,0.0003269181258855549,0.0006201332309715082,65.12149121316627,0,3.854911651227973e-05,0.03469420486105175,0.00065,30.729448409883155,0.0
S3_transport,C,7,4,Ea2_J,J_per_mol,51834.07919118092,2.3196243060150903,47287.61555139134,56380.5428309705,17.54237255000033,0,20000.0,120000.0,48000.0,7.98766498162693,1.0
S3_transport,C,7,4,K1_ref,dimensionless,6.180116182727698,24.802926648822414,4.7678133960849625e-21,8.010765703073703e+21,1.2962160364334795e+23,1,0.06180116182727974,6.180116182727977,0.9,586.679575858633,1.0
S3_transport,C,7,4,K2_ref,dimensionless,0.08296781446751739,0.10068122558823855,0.06810955780989453,0.10106743398231802,39.72368849769663,0,0.015450290456819938,1.5450290456819942,0.07,18.525449239310543,1.0
S3_transport,C,7,5,k1_ref,L_per_mol_s,0.000995620092002895,0.04223549162025359,0.0009165202734175487,0.001081546580419454,16.575228676826015,0,7.935761655790467e-05,0.07142185490211418,0.001,0.43799079971050814,1.0
S3_transport,C,7,5,Ea1_J,J_per_mol,40370.93719403657,0.701980504984109,38995.05540426771,41746.818983805424,6.816199401841448,0,20000.0,120000.0,40000.0,0.9273429850914283,1.0
S3_transport,C,7,5,k2_ref,L_per_mol_s,0.000525223400617693,0.11895258294828613,0.0004159964116942075,0.0006631298078580394,47.05300561117208,0,3.854911651227973e-05,0.03469420486105175,0.00065,19.196399904970306,1.0
S3_transport,C,7,5,Ea2_J,J_per_mol,49760.104766397184,1.7651721925898958,46300.367268920985,53219.84226387338,13.905668059656273,0,20000.0,120000.0,48000.0,3.666884929994141,1.0
S3_transport,C,7,5,K1_ref,dimensionless,6.180116182718258,22.760558956039578,2.611065261240422e-19,1.4627683420578921e+20,2.3668945676916207e+21,1,0.06180116182727974,6.180116182727977,0.9,586.6795758575842,1.0
S3_transport,C,7,5,K2_ref,dimensionless,0.0828229765679631,0.10066887202489971,0.06799230442219409,0.10088855651932038,39.71875131791743,0,0.015450290456819938,1.5450290456819942,0.07,18.318537954232994,1.0
S3_transport,C,7,6,k1_ref,L_per_mol_s,0.0009955703709686246,0.04042045024962156,0.0009197406495022264,0.001077652014279277,15.861396580476105,0,7.935761655790467e-05,0.07142185490211418,0.001,0.44296290313754483,1.0
S3_transport,C,7,6,Ea1_J,J_per_mol,40371.92405091692,0.5957816460149482,39204.19202472762,41539.656077106214,5.784871807033816,0,20000.0,120000.0,40000.0,0.9298101272922965,1.0
S3_transport,C,7,6,k2_ref,L_per_mol_s,0.0005158618943013819,0.11196631125269789,0.0004142149793740872,0.0006424526085327224,44.243940418923835,0,3.854911651227973e-05,0.03469420486105175,0.00065,20.63663164594124,0.0
S3_transport,C,7,6,Ea2_J,J_per_mol,50137.44292792894,1.5404754287635172,47118.11108755245,53156.77476830543,12.044219505636503,0,20000.0,120000.0,48000.0,4.453006099851953,1.0
S3_transport,C,7,6,K1_ref,dimensionless,6.180116182727975,22.40932849470554,5.197459707062567e-19,7.34855836979679e+19,1.1890647606810931e+21,1,0.06180116182727974,6.180116182727977,0.9,586.6795758586638,1.0
