x_m,tau_s,C_EGDA_mol_L,C_EGMA_mol_L,C_EG_mol_L,C_AcOH_mol_L,C_H2O_mol_L,C_OH_mol_L,X_EGDA,Y_EGMA,Y_EG
2.10000000e-02,1.58336270e+01,4.16532169e-02,1.12998974e-01,9.53478094e-02,3.03694593e-01,5.08983593e+01,0.00000000e+00,8.33387132e-01,4.51995895e-01,3.81391238e-01
2.13000000e-02,1.60598216e+01,4.06157776e-02,1.12433444e-01,9.69507782e-02,3.06335001e-01,5.08957188e+01,0.00000000e+00,8.37536889e-01,4.49733777e-01,3.87803113e-01
2.16000000e-02,1.62860163e+01,3.96047655e-02,1.11850862e-01,9.85443723e-02,3.08939607e-01,5.08931142e+01,0.00000000e+00,8.41580938e-01,4.47403449e-01,3.94177489e-01
2.19000000e-02,1.65122110e+01,3.86195002e-02,1.11252150e-01,1.00128350e-01,3.11508850e-01,5.08905450e+01,0.00000000e+00,8.45521999e-01,4.45008598e-01,4.00513401e-01
2.22000000e-02,1.67384057e+01,3.76593193e-02,1.10638197e-01,1.01702483e-01,3.14043164e-01,5.08880107e+01,0.00000000e+00,8.49362723e-01,4.42552789e-01,4.06809934e-01
2.25000000e-02,1.69646003e+01,3.67235772e-02,1.10009866e-01,1.03266557e-01,3.16542980e-01,5.08855109e+01,0.00000000e+00,8.53105691e-01,4.40039463e-01,4.13066228e-01
2.28000000e-02,1.71907950e+01,3.58116452e-02,1.09367986e-01,1.04820369e-01,3.19008723e-01,5.08830451e+01,0.00000000e+00,8.56753419e-01,4.37471945e-01,4.19281474e-01
2.31000000e-02,1.74169897e+01,3.49229105e-02,1.08713362e-01,1.06363728e-01,3.21440817e-01,5.08806130e+01,0.00000000e+00,8.60308358e-01,4.34853447e-01,4.25454911e-01
2.34000000e-02,1.76431843e+01,3.40567765e-02,1.08046768e-01,1.07896456e-01,3.23839679e-01,5.08782142e+01,0.00000000e+00,8.63772894e-01,4.32187071e-01,4.31585823e-01
2.37000000e-02,1.78693790e+01,3.32126617e-02,1.07368952e-01,1.09418386e-01,3.26205724e-01,5.08758481e+01,0.00000000e+00,8.67149353e-01,4.29475809e-01,4.37673544e-01
