bound_active,condition_number,effective_rank,eigenvalues_ascending,eigval_max,eigval_min,estimate_natural,final_round,matrix_kind,n_params,param,rel_ci_width_pct,rel_error_pct,scenario,seed,sigma_scaled,strategy,true_value
0,86939.4921873574,6,1.17532;6.83201;51.0211;83.6773;14215.2;102182,102181.67017088566,1.1753193813311087,0.060595321441194824,3,posterior_precision,6,K2_ref,24.94047043585832,13.435255084007402,S7_spatial_modes,1,0.11360571498186306,F-zadaptive,0.07
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,0.0009929975517922068,8,posterior_precision,6,k1_ref,0.615428135517293,0.7002448207793239,S7_spatial_modes,2,0.003130316891309802,F-zadaptive,0.001
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,40168.29287746442,8,posterior_precision,6,Ea1_J,0.27600859328651367,0.42073219366104236,S7_spatial_modes,2,0.05656527557055938,F-zadaptive,40000.0
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,0.0006551558422613486,8,posterior_precision,6,k2_ref,1.7737237479429346,0.7932065017459423,S7_spatial_modes,2,0.008970289992668997,F-zadaptive,0.00065
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,47880.990015193056,8,posterior_precision,6,Ea2_J,0.6742129129875923,0.24793746834779995,S7_spatial_modes,2,0.1647039885452711,F-zadaptive,48000.0
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,3.2889434522682803,8,posterior_precision,6,K1_ref,483.57477623557577,265.4381613631422,S7_spatial_modes,2,0.9000012289518549,F-zadaptive,0.9
0,453060.1159458983,6,1.2344;35.5678;451.558;2761.61;49798.6;559256,559256.1276102725,1.2343971758420145,0.0728451945082973,8,posterior_precision,6,K2_ref,4.030210415272917,4.06456358328184,S7_spatial_modes,2,0.020158752924995457,F-zadaptive,0.07
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,0.0009916363446955078,8,posterior_precision,6,k1_ref,0.9819170984273429,0.8363655304492257,S7_spatial_modes,3,0.004985344997146553,F-zadaptive,0.001
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,40200.191090901404,8,posterior_precision,6,Ea1_J,0.38069139302280347,0.5004777272535103,S7_spatial_modes,3,0.0780809527866232,F-zadaptive,40000.0
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,0.0006693987405265534,8,posterior_precision,6,k2_ref,2.4078522340389874,2.9844216194697517,S7_spatial_modes,3,0.012139390637980056,F-zadaptive,0.00065
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,47570.412708612115,8,posterior_precision,6,Ea2_J,0.7846576820119342,0.8949735237247599,S7_spatial_modes,3,0.19044127432801347,F-zadaptive,48000.0
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,3.797351781458446,8,posterior_precision,6,K1_ref,581.2673689730997,321.9279757176051,S7_spatial_modes,3,0.9789717629615722,F-zadaptive,0.9
0,471309.59380731534,6,1.04328;25.0508;397.212;5023.38;27495.3;491709,491708.61391772714,1.043281571982495,0.07397686613472769,8,posterior_precision,6,K2_ref,3.2450914559584376,5.68123733532526,S7_spatial_modes,3,0.016293624665737028,F-zadaptive,0.07
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,0.000992968287399558,8,posterior_precision,6,k1_ref,1.2848283468855026,0.7031712600441987,S7_spatial_modes,4,0.006513492103408473,F-zadaptive,0.001
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,39992.26263880586,8,posterior_precision,6,Ea1_J,0.5048857332766188,0.019343402985341526,S7_spatial_modes,4,0.10301797371318684,F-zadaptive,40000.0
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,0.0006528365686393688,8,posterior_precision,6,k2_ref,1.5401768634046853,0.4363951752875179,S7_spatial_modes,4,0.007798145581535795,F-zadaptive,0.00065
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,48019.29794258332,8,posterior_precision,6,Ea2_J,0.5379293789558527,0.04020404704857962,S7_spatial_modes,4,0.13179077102117298,F-zadaptive,48000.0
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,0.9037774452124685,8,posterior_precision,6,K1_ref,125.40299639575254,0.4197161347187197,S7_spatial_modes,4,0.4146529128624842,F-zadaptive,0.9
0,62288.261149945916,6,5.81189;40.6877;295.808;8765.24;47774.5;362012,362012.328713065,5.811886895374978,0.07097590501900478,8,posterior_precision,6,K2_ref,2.3047263513563454,1.39415002714967,S7_spatial_modes,4,0.011625350405757627,F-zadaptive,0.07
0,305031.32478326315,6,1.06573;33.3507;243.832;4170.47;42189.3;325080,325080.1854548709,1.065727218953179,0.0009901864344891856,8,posterior_precision,6,k1_ref,1.1773084910667864,0.9813565510814402,S7_spatial_modes,5,0.005971592513597988,F-zadaptive,0.001
