T_trend_r,affected_region,affected_species,alpha_round_threshold,chi2_over_dof,p_bootstrap,p_combined_best_model,p_component_T_trend,p_component_chi2,p_component_species_bias,p_component_worst_cell,p_component_z_autocorr,p_model_irreversible,p_model_rev-dilute,p_model_rev-pitzer,rejected_at_threshold,round,round_first_detected,scenario,seed,species_bias_z_AcOH,species_bias_z_EG,species_bias_z_EGDA,species_bias_z_EGMA,state,strategy,trigger_reasons,z_autocorr_r
0.0,,,0.00625,1.2386676335026168,nan,0.25945161540169304,1.0,0.0801740906843099,0.5332390326475838,0.05830408219189309,0.8216561569485942,,,0.25945161540169304,0,2,-1,S1_ideal,8,1.1404044379026763,1.361228688781181,0.1425461341726758,-0.9116650863687863,NORMAL_LEARNING,F,,-0.1086227981832912
0.0,,,0.00625,1.118574242140907,nan,0.3013153170431775,1.0,0.18250913045887482,0.5780239334982726,0.06920027888568481,0.489988088385076,,,0.3013153170431775,0,3,-1,S1_ideal,8,0.7974521024662214,1.0024789362333728,0.11950682229598394,-1.298765879725617,NORMAL_LEARNING,F,,0.0024151308124244738
0.0,,,0.00625,1.0660360499609276,nan,0.38041428593584325,1.0,0.27259855086397894,0.7071742282222467,0.09130052086820917,0.3508680434969613,,,0.38041428593584325,0,4,-1,S1_ideal,8,0.7352379273796282,0.9365087403287975,0.17160319199062948,-1.1160936741932863,NORMAL_LEARNING,F,,0.031914832124320426
0.0,,,0.00625,1.0879427130658006,nan,0.44993646452133673,1.0,0.1906278377736112,0.6922522561868762,0.11267529947281363,0.7047296200609968,,,0.44993646452133673,0,5,-1,S1_ideal,8,0.14467556540145657,0.8544892476588332,-0.2873630514172826,-1.1378467570377544,NORMAL_LEARNING,F,,-0.040104070296709864
-0.5785040663922868,misfit correlated with temperature,,0.00625,1.1394305739110007,nan,0.30533345988328553,0.2528229014497201,0.07027335801402997,0.7892069504355256,0.13370443920128694,0.7513911203755805,,,0.30533345988328553,0,6,-1,S1_ideal,8,0.8079262432439244,0.5627156787742539,-0.1577162694636735,-0.9895082203329225,NORMAL_LEARNING,F,,-0.046191518736208054
-0.3894896329512519,,,0.00625,1.0695425505828997,nan,0.5672258880633857,0.41085126300395247,0.2049247624050279,0.7214236726806941,0.1542300420834699,0.6740095210724021,,,0.5672258880633857,0,7,-1,S1_ideal,8,0.7587843717893056,0.49386392655747646,-0.31563574754927604,-1.0950396300468408,NORMAL_LEARNING,F,,-0.028411080449201556
-0.09871434046889363,,,0.00625,1.0779076334231483,nan,0.5915239781580199,0.824739594100062,0.1639479548685142,0.8992776866807697,0.1741298510097402,0.5325251133040532,,,0.5915239781580199,0,8,-1,S1_ideal,8,0.777869505474842,0.7161710991044004,0.14760864586754344,-0.6887681835110683,NORMAL_LEARNING,F,,-0.00480943965851693
0.0,,,0.00625,1.250104962635066,nan,0.5569570032744304,1.0,0.15025390944365127,0.47518875722400766,0.47518875722400766,0.654699359602019,,,0.5569570032744304,0,1,-1,S1_ideal,9,-0.8593365300020963,1.443568367877651,0.5896753982846905,0.24665121914631766,NORMAL_LEARNING,F,,-0.06633986887084138
0.0,,,0.00625,0.982948441209384,nan,0.4131640539654311,1.0,0.5197009884278295,0.10111663845767505,0.48661432513639025,0.4913479018703389,,,0.4131640539654311,0,2,-1,S1_ideal,9,-1.634602497412196,2.221775102218584,0.9758497607615028,0.899322953613353,NORMAL_LEARNING,F,,0.002556107836958444
0.0,,,0.00625,1.0616554194415975,nan,0.5042086564154202,1.0,0.3084675008248551,0.13091993541840963,0.66700879782319,0.7407062223177737,,,0.5042086564154202,0,3,-1,S1_ideal,9,-2.1145087897455013,1.6609246378465259,0.15118635849363554,0.2644921952987483,NORMAL_LEARNING,F,,-0.062115592960478215
