basis,boot_ci_hi,boot_ci_lo,mean,median,metric,n_faulted_cumulative,n_in_summary,n_observed,n_total,q25,q75,round,scenario,strategy
observed,10.0,10.0,10.0,10.0,spatial_samples,0,40,40,40,10.0,10.0,1,S1_ideal,B
locf,10.0,10.0,10.0,10.0,spatial_samples,0,40,40,40,10.0,10.0,1,S1_ideal,B
observed,215.04304796895886,151.45323823403615,192.87448251452437,180.73717253808513,param_err_pct,0,40,40,40,140.73952839891058,239.32368731002217,2,S1_ideal,B
locf,212.590280513968,151.45323823403615,192.87448251452437,180.73717253808513,param_err_pct,0,40,40,40,140.73952839891058,239.32368731002217,2,S1_ideal,B
observed,0.07623050452639868,0.057234270035914615,0.07200601049190025,0.06544082518514832,blind_rmse_M,0,40,40,40,0.051663886253725116,0.0881031247617986,2,S1_ideal,B
locf,0.07623050452639868,0.05717966382507106,0.07200601049190025,0.06544082518514832,blind_rmse_M,0,40,40,40,0.051663886253725116,0.0881031247617986,2,S1_ideal,B
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,B
locf,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,2,S1_ideal,B
observed,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,B
locf,nan,nan,nan,nan,p_correct,0,0,40,40,nan,nan,2,S1_ideal,B
observed,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,B
locf,nan,nan,nan,nan,model_entropy,0,0,40,40,nan,nan,2,S1_ideal,B
observed,5667.193195558724,5667.193195558724,5667.193195558724,5667.193195558724,time_s,0,40,40,40,5667.193195558724,5667.193195558724,2,S1_ideal,B
locf,5667.193195558724,5667.193195558724,5667.193195558724,5667.193195558724,time_s,0,40,40,40,5667.193195558724,5667.193195558724,2,S1_ideal,B
observed,0.04722660996298938,0.04722660996298938,0.04722660996298938,0.04722660996298938,egda_mol,0,40,40,40,0.04722660996298938,0.04722660996298938,2,S1_ideal,B
locf,0.04722660996298938,0.04722660996298938,0.04722660996298938,0.04722660996298938,egda_mol,0,40,40,40,0.04722660996298938,0.04722660996298938,2,S1_ideal,B
observed,18.24373266287005,18.24373266287005,18.24373266287005,18.24373266287005,energy_kJ,0,40,40,40,18.24373266287005,18.24373266287005,2,S1_ideal,B
locf,18.24373266287005,18.24373266287005,18.24373266287005,18.24373266287005,energy_kJ,0,40,40,40,18.24373266287005,18.24373266287005,2,S1_ideal,B
observed,20.0,20.0,20.0,20.0,nmr_acquisitions,0,40,40,40,20.0,20.0,2,S1_ideal,B
locf,20.0,20.0,20.0,20.0,nmr_acquisitions,0,40,40,40,20.0,20.0,2,S1_ideal,B
observed,20.0,20.0,20.0,20.0,spatial_samples,0,40,40,40,20.0,20.0,2,S1_ideal,B
locf,20.0,20.0,20.0,20.0,spatial_samples,0,40,40,40,20.0,20.0,2,S1_ideal,B
observed,181.6657239598451,151.11727821326255,167.769730001756,170.09370749505615,param_err_pct,0,40,40,40,137.8741367453146,192.19726965228455,3,S1_ideal,B
locf,181.18644866765533,150.12633955847673,167.769730001756,170.09370749505615,param_err_pct,0,40,40,40,137.8741367453146,192.19726965228455,3,S1_ideal,B
observed,0.06433349371076263,0.04493508865008314,0.055275075926745645,0.05198407532864148,blind_rmse_M,0,40,40,40,0.04035230650484817,0.07617487988039956,3,S1_ideal,B
locf,0.06433349371076263,0.04493508865008314,0.055275075926745645,0.05198407532864148,blind_rmse_M,0,40,40,40,0.04035230650484817,0.07617487988039956,3,S1_ideal,B
observed,10000.0,10000.0,10000.0,10000.0,max_rel_ci_pct,0,40,40,40,10000.0,10000.0,3,S1_ideal,B
