acid_mol,capillary_travel_m,egda_mol,energy_kJ,metric,nmr_acquisitions,ratio_acid_mol,ratio_capillary_travel_m,ratio_egda_mol,ratio_energy_kJ,ratio_nmr_acquisitions,ratio_reactor_conditions,ratio_spatial_samples,ratio_time_s,ratio_waste_mL,reached,reactor_conditions,reference_acid_mol,reference_capillary_travel_m,reference_egda_mol,reference_energy_kJ,reference_nmr_acquisitions,reference_reached,reference_reactor_conditions,reference_round,reference_spatial_samples,reference_strategy,reference_time_s,reference_waste_mL,round,scenario,seed,spatial_samples,strategy,target,time_s,waste_mL
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,12,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,13,70.0,B,50.0,21367.319041598388,408.62198402663984
0.10211393421169306,8.099999999999994,0.2042278684233861,190.61261635860583,param_err_pct,80.0,1.7533620007625579,nan,1.7533620007625579,1.4175655193588665,10.0,1.0,10.0,1.7533620007625572,1.9604289188803388,1,8.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,8,S1_ideal,14,80.0,B,50.0,24507.34421080632,468.4557368467721
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,15,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,16,70.0,B,50.0,21367.319041598388,408.62198402663984
0.10211393421169306,8.099999999999994,0.2042278684233861,190.61261635860583,param_err_pct,80.0,2.010888869582932,nan,2.010888869582932,1.7478071513875362,11.428571428571429,1.1428571428571428,11.428571428571429,2.0108888695829314,2.248170448801223,1,8.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,8,S1_ideal,17,80.0,B,50.0,24507.34421080632,468.4557368467721
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.3040598841587066,nan,1.3040598841587066,0.8787132583856079,7.5,0.75,7.5,1.304059884158706,1.4596353107444517,1,6.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,6,S1_ideal,18,60.0,B,50.0,18227.293872390455,348.7882312065076
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,6,S1_ideal,19,60.0,B,50.0,18227.293872390455,348.7882312065076
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,20,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.3040598841587066,nan,1.3040598841587066,0.8787132583856079,7.5,0.75,7.5,1.304059884158706,1.4596353107444517,1,6.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,6,S1_ideal,21,60.0,B,50.0,18227.293872390455,348.7882312065076
0.06286361959659387,4.859999999999999,0.12572723919318773,87.55278210136616,param_err_pct,50.0,1.0794088258567809,nan,1.0794088258567809,0.6511206204595668,6.25,0.625,6.25,1.0794088258567807,1.2092385066765086,1,5.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,5,S1_ideal,22,50.0,B,50.0,15087.268703182523,288.9544783863754
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,23,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,7.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,7,S1_ideal,24,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.3040598841587066,nan,1.3040598841587066,0.8787132583856079,7.5,0.75,7.5,1.304059884158706,1.4596353107444517,1,6.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,6,S1_ideal,25,60.0,B,50.0,18227.293872390455,348.7882312065076
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,2.0550846502798525,nan,2.0550846502798525,1.777718023272162,11.666666666666666,1.1666666666666667,11.666666666666666,2.0550846502798517,2.2983635151418444,1,7.0,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,1,6.0,6,6.0,A,10397.293872390457,177.78823120650762,7,S1_ideal,26,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.7532419532685042,nan,1.7532419532685042,1.3984213887121644,10.0,1.0,10.0,1.7532419532685035,1.9610217080545653,1,7.0,0.050780496006659966,0.0,0.10156099201331993,109.05815107077672,7.0,1,7.0,7,7.0,A,12187.31904159839,208.37198402663984,7,S1_ideal,27,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,28,70.0,B,50.0,21367.319041598388,408.62198402663984
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.7530805703965158,nan,1.7530805703965158,1.3772804027164713,10.0,1.0,10.0,1.7530805703965153,1.9618184445593427,1,6.0,0.04332205780162691,0.0,0.08664411560325382,85.78933727074443,6.0,1,6.0,6,6.0,A,10397.293872390457,177.78823120650762,6,S1_ideal,29,60.0,B,50.0,18227.293872390455,348.7882312065076
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.3040598841587066,nan,1.3040598841587066,0.8787132583856079,7.5,0.75,7.5,1.304059884158706,1.4596353107444517,1,6.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,6,S1_ideal,30,60.0,B,50.0,18227.293872390455,348.7882312065076
0.07594705780162693,5.939999999999998,0.15189411560325386,118.15597298503008,param_err_pct,60.0,1.3040598841587066,nan,1.3040598841587066,0.8787132583856079,7.5,0.75,7.5,1.304059884158706,1.4596353107444517,1,6.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,6,S1_ideal,31,60.0,B,50.0,18227.293872390455,348.7882312065076
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,1.5287109424606322,nan,1.5287109424606322,1.134194891352041,8.75,0.875,8.75,1.5287109424606318,1.7100321148123954,1,7.0,0.05823893421169302,0.0,0.11647786842338605,134.4647663586059,8.0,1,8.0,8,8.0,A,13977.344210806323,238.95573684677206,7,S1_ideal,32,70.0,B,50.0,21367.319041598388,408.62198402663984
0.08903049600665999,7.019999999999996,0.17806099201331999,152.5092510707766,param_err_pct,70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,7.0,nan,nan,nan,nan,nan,0,nan,-1,nan,A,nan,nan,7,S1_ideal,33,70.0,B,50.0,21367.319041598388,408.62198402663984
