blind_rmse_M,improvement_factor_blind_rmse_M,improvement_factor_param_err_pct,param_err_pct,reference_blind_rmse_M,reference_final_round,reference_param_err_pct,reference_strategy,reference_total,resource,round_at_budget,scenario,seed,spent,strategy
0.0023600118553415788,2.2828154483403416,7.429075781538567,6.486443268539999,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,3,S1_ideal,17,0.10952241776461626,E
0.09889193918402947,0.054478368672844835,1.1477346140057942,41.98555833952664,0.005387471521640107,8,48.18827859463437,A,0.11647786842338605,egda_mol,1,S1_ideal,17,0.020708483552923252,F
0.0011954057478798762,1.0,1.0,40.67287782563302,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,8,S1_ideal,18,0.11647786842338605,A
0.05271081776533342,0.022678565777555903,0.3187004311176909,127.62103170991064,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,4,S1_ideal,18,0.09956036278312162,B
0.07228262015090012,0.016537941560285152,0.49696234450042864,81.84297719079588,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,2,S1_ideal,18,0.04542920065876976,C
0.13020818502812337,0.00918072660041827,0.09030140216684382,450.41247256033176,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,1,S1_ideal,18,0.02105973355292326,D
0.1325939343814719,0.009015538708133522,0.10188109119717675,399.2191028550754,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,1,S1_ideal,18,0.020708483552923252,E
0.10036501742692218,0.011910581779655203,0.8949149951875258,45.44887284753809,0.0011954057478798762,8,40.67287782563302,A,0.11647786842338605,egda_mol,1,S1_ideal,18,0.020708483552923252,F
0.008137156124929646,1.0,1.0,66.11454318721246,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,8,S1_ideal,19,0.11647786842338605,A
0.015328560199345989,0.530849343911428,0.37338306102876995,177.0689409558357,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,4,S1_ideal,19,0.09956036278312162,B
0.08983120957837487,0.09058272913302182,0.3214777343810742,205.65823419932846,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,1,S1_ideal,19,0.012059733552923254,C
0.1296822529616113,0.06274687506653989,0.1422775344724682,464.68715832298983,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,1,S1_ideal,19,0.02105973355292326,D
0.0941656283514558,0.08641323025594026,0.20143910314335944,328.2110680375712,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,1,S1_ideal,19,0.020708483552923252,E
0.09722397037459524,0.08369495808058355,1.4204142192497387,46.54595982722145,0.008137156124929646,8,66.11454318721246,A,0.11647786842338605,egda_mol,1,S1_ideal,19,0.020708483552923252,F
0.0025850979993401048,1.0,1.0,44.84022393444758,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,8,S1_ideal,20,0.11647786842338605,A
0.042703069917500135,0.060536584473537026,0.3995887191217781,112.21594051253017,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,4,S1_ideal,20,0.09956036278312162,B
0.13708161608301286,0.018858093982307887,0.3029035217063703,148.0346734889235,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,1,S1_ideal,20,0.012059733552923254,C
0.036528271155869034,0.07076978782568949,1.8406189109824402,24.36149257562168,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,2,S1_ideal,20,0.06234586732543644,D
0.001052598831588763,2.455919503005937,7.276562286960217,6.162281330952446,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,3,S1_ideal,20,0.11037991776461625,E
0.09529996374809982,0.02712590747854979,0.8323261433632102,53.87338159685826,0.0025850979993401048,8,44.84022393444758,A,0.11647786842338605,egda_mol,1,S1_ideal,20,0.020708483552923252,F
0.003178060695536004,1.0,1.0,47.13606830614747,0.003178060695536004,8,47.13606830614747,A,0.11647786842338605,egda_mol,8,S1_ideal,21,0.11647786842338605,A
0.02656895955055898,0.11961554947187013,0.2600100237489825,181.28558132686962,0.003178060695536004,8,47.13606830614747,A,0.11647786842338605,egda_mol,4,S1_ideal,21,0.09956036278312162,B
0.1148038268516121,0.027682532740339372,0.1616791672840123,291.540766185085,0.003178060695536004,8,47.13606830614747,A,0.11647786842338605,egda_mol,1,S1_ideal,21,0.012059733552923254,C
0.1190158095292885,0.026702844841415104,0.44315703109040283,106.3642569094923,0.003178060695536004,8,47.13606830614747,A,0.11647786842338605,egda_mol,1,S1_ideal,21,0.02105973355292326,D
0.10161672706427476,0.03127497595475411,0.27883184755582596,169.04836631586778,0.003178060695536004,8,47.13606830614747,A,0.11647786842338605,egda_mol,1,S1_ideal,21,0.020708483552923252,E
