z_over_L,info_gain_nats,C_EGDA_M,C_EGMA_M,C_EG_M,C_AcOH_M
0.5197999999999999,4.219334611140198,0.04208962668558858,0.10969212287359606,0.34821825044081495,0.8061286237552261
0.5296,4.219379724393608,0.040224186727529185,0.10827379909192567,0.3515020141805447,0.8112778274530152
0.5394,4.2194160344705995,0.03843874399925574,0.10689998182038739,0.3546612741803564,0.8162225301811005
0.5491999999999999,4.219445249916606,0.03673010306153905,0.10557019251514703,0.3576997044233134,0.8209696013617741
0.5589999999999999,4.219468730330287,0.0351022158378841,0.10428820057333178,0.3606095835887837,0.8255073677508993
0.5688,4.219487595227539,0.033560359875941616,0.10305896114971247,0.36338067897434556,0.8298203190984036
0.5786,4.219502741961667,0.03208475428177255,0.10187157685988736,0.36604366885833967,0.833958914576567
0.5884,4.219514896945823,0.03067227886101282,0.1007249536777071,0.3686027674612796,0.8379304886002669
0.5982,4.219524645383329,0.029320421314665637,0.0996182829384431,0.3710612957468908,0.8417408744322251
0.608,4.219532461816398,0.028032124386340326,0.098554443822285,0.37341343179137415,0.8453813074050337
0.6178,4.219538726096645,0.026807256482585026,0.09753434979186844,0.37565839372554605,0.8488511372429608
0.6275999999999999,4.21954374410456,0.025639558434618768,0.09655452073271364,0.3778059208326671,0.8521663623980481
0.6373999999999999,4.21954776255318,0.024521716474055405,0.09561040469908237,0.3798678788268618,0.8553461623528062
0.6472,4.219550979605426,0.023451752892865548,0.09470108954389793,0.38184715756323606,0.8583954046703705
0.6569999999999999,4.219553553970539,0.022431764355474386,0.09382867840807033,0.38373955723645475,0.8613077928809804
0.6668,4.2195556129938465,0.021460093351684802,0.09299251713975787,0.3855473895085568,0.8640872961568722
0.6766,4.219557260714179,0.02053420163725783,0.09219122467702934,0.3872745736857124,0.8667403720484546
0.6864,4.219558579696979,0.019649264148604777,0.09142152137616093,0.3889292144752338,0.869279950326629
0.6961999999999999,4.219559633202668,0.018802165216631903,0.0906813273755227,0.3905165074078449,0.871714342191213
0.706,4.219560474147572,0.017994312952640798,0.08997209292314484,0.39203359412421385,0.874039281171573
0.7158,4.219561144849161,0.01722479196572901,0.08929344287088341,0.3934817651633871,0.8762569731976582
0.7255999999999999,4.219561680100685,0.016489053195558524,0.0886420331857327,0.39486891361870835,0.8783798604231497
0.7353999999999999,4.219562107897712,0.015788323432370268,0.08801911806142969,0.39619255850619955,0.8804042350738293
0.7452,4.2195624498640525,0.015117512126031074,0.08742076508455057,0.39746172278941794,0.8823442106633866
0.7549999999999999,4.219562722690848,0.014477481917885685,0.08684789359685709,0.39867462448525676,0.8841971425673709
0.7647999999999999,4.219562939725656,0.013867984713913432,0.08630050941481296,0.3998315058712731,0.8859635211573595
0.7746,4.219563112421443,0.013284956669141555,0.08577539267966802,0.4009396506511899,0.8876546939820482
0.7843999999999999,4.21956324970723,0.012728280344253327,0.08527259151110668,0.4019991281446395,0.8892708478003861
0.7942,4.2195633602941385,0.012196972481778673,0.08479140947697814,0.40301161804124275,0.8908146455594641
0.8039999999999999,4.219563450127963,0.011689771823308335,0.08433090477745947,0.40397932339923176,0.8922895515759234
0.8137999999999999,4.219563521950035,0.011206986693878386,0.08389147054631756,0.40490154275980356,0.8936945560659253
0.8236,4.219563579779232,0.010745139820491864,0.0834702112373873,0.40578464894212035,0.8950395091216284
0.8333999999999999,4.219563624607221,0.01030296916890853,0.08306611004280831,0.40663092078828267,0.8963279516193741
0.8432000000000001,4.219563660570555,0.009881737416022135,0.08268035345236628,0.4074379091316111,0.897556171715589
0.853,4.219563690439105,0.009479712725958813,0.08231150616021882,0.4082087811138218,0.8987290683878632
0.8627999999999999,4.219563712758883,0.009097283132925684,0.08195998981134842,0.4089427270557254,0.8998454439227999
0.8726,4.219563730566187,0.008731385482911996,0.08162315877691302,0.40964545574017447,0.9009140702572624
0.8824,4.2195637443499,0.008381060304840862,0.08130020726561851,0.4103187324295401,0.9019376721246993
0.8921999999999999,4.219563754615225,0.008046140768782666,0.08099103091873147,0.4109628283124853,0.9029166875437027
0.902,4.219563763292652,0.007727423761425385,0.08069639289702071,0.4115761833415534,0.9038487595801281
0.9117999999999999,4.219563769660626,0.007424486894101255,0.08041596633547246,0.4121595467704258,0.9047350598763245
0.9215999999999999,4.21956377520292,0.007134577761875148,0.0801473102985451,0.4127181119395793,0.905583534177704
0.9314,4.219563779533392,0.006856995759854199,0.07988981890381405,0.41325318533633126,0.9063961895764769
0.9411999999999999,4.219563783132346,0.0065912565176660404,0.07964307799356138,0.4137656654887721,0.9071744089711059
0.951,4.2195637860744855,0.006337978685558692,0.07940767672457481,0.41425434458986604,0.9079163659043074
0.9608,4.219563788336832,0.006098014767466076,0.07918442420053218,0.4147175610320013,0.9086195462645353
0.9705999999999999,4.219563790317476,0.0058682968107593506,0.07897054421363815,0.415161158975602,0.9092928621648427
0.9803999999999999,4.2195637916859665,0.005648338535934567,0.07876560749995724,0.41558605396410764,0.9099377154281733
0.9902,4.219563792906696,0.005437756848053234,0.07856927723213024,0.415992965919816,0.9105552090717628
1.0,4.2195637938354436,0.005236181907458974,0.07838122708101963,0.41638259101152086,0.911146409104062
