completed,faulted,last_valid_blind_rmse_M,last_valid_param_err_pct,nmr_acquisitions,nmr_reacquisitions,qc_rejected,rounds_completed,rounds_planned,runtime_s,scenario,seed,stop_reason,strategy
1,0,0.0009180837341095796,10.681740979409703,102.0,22.0,12.0,8,8,124.28008699417114,S3ab_delay,25,budget exhausted,F
1,0,0.0007567273976290972,5.143602697379901,104.0,24.0,11.0,8,8,125.29789304733276,S3ab_delay,26,budget exhausted,F
1,0,0.001274935195792933,3.73314962763005,97.0,17.0,1.0,8,8,133.06753301620483,S3ab_delay,27,budget exhausted,F
1,0,0.0009922655616608482,7.66451663787453,91.0,11.0,4.0,8,8,130.61526703834534,S3ab_delay,28,budget exhausted,F
0,1,0.0007231486350690623,9.717417957988616,95.0,25.0,16.0,6,8,107.77911186218262,S3ab_delay,29,MEASUREMENT_FAULT: QC rejected 6 positions in round 7; campaign paused,F
1,0,0.0006335350480178132,12.014100511833847,89.0,9.0,1.0,8,8,124.14787197113037,S3ab_delay,30,budget exhausted,F
1,0,0.0004230568524081402,9.008686661537823,88.0,8.0,0.0,8,8,125.27309083938599,S3ab_delay,31,budget exhausted,F
1,0,0.0011428945758021809,11.292197101127499,97.0,17.0,4.0,8,8,123.1251769065857,S3ab_delay,32,budget exhausted,F
1,0,0.0007993550787669932,12.707252523785218,94.0,14.0,2.0,8,8,128.09217596054077,S3ab_delay,33,budget exhausted,F
1,0,0.0009452767109332834,8.223962401285068,101.0,21.0,7.0,8,8,107.62798118591309,S3ab_delay,34,budget exhausted,F
1,0,0.0018085159007651909,7.484353581007697,105.0,25.0,13.0,8,8,104.70609378814697,S3ab_delay,35,budget exhausted,F
1,0,0.000553100348852431,8.425764764329235,98.0,18.0,4.0,8,8,100.04758381843567,S3ab_delay,36,budget exhausted,F
1,0,0.0003131807184026954,0.8644601099465632,87.0,7.0,1.0,8,8,102.4667181968689,S3ab_delay,37,budget exhausted,F
1,0,0.0008958698207426931,7.862986509635306,111.0,31.0,14.0,8,8,98.48252296447754,S3ab_delay,38,budget exhausted,F
1,0,0.0006606124252382072,38.5701985260837,91.0,11.0,2.0,8,8,94.99783396720886,S3ab_delay,39,budget exhausted,F
1,0,0.0013979633272122403,36.18448198894768,105.0,25.0,10.0,8,8,98.55984497070312,S3ab_delay,40,budget exhausted,F
1,0,0.003297355706907673,16.80329455332876,80.0,0.0,0.0,8,8,28.497241973876953,S3ab_rtd,1,budget exhausted,D
1,0,0.001035656870071677,23.422044625399273,80.0,0.0,0.0,8,8,26.7478449344635,S3ab_rtd,2,budget exhausted,D
1,0,0.0019844779059332864,28.33768228862934,80.0,0.0,0.0,8,8,27.045280933380127,S3ab_rtd,3,budget exhausted,D
1,0,0.00451498125176019,19.14160837056005,80.0,0.0,0.0,8,8,28.761566877365112,S3ab_rtd,4,budget exhausted,D
1,0,0.0019585868567751166,12.437638278448194,80.0,0.0,0.0,8,8,27.651085138320923,S3ab_rtd,5,budget exhausted,D
1,0,0.005218148288948241,11.256273659318605,80.0,0.0,0.0,8,8,30.75098705291748,S3ab_rtd,6,budget exhausted,D
1,0,0.0045351625019432965,12.75969302311668,80.0,0.0,0.0,8,8,28.083328008651733,S3ab_rtd,7,budget exhausted,D
1,0,0.0010986054593108887,18.095159286983442,80.0,0.0,0.0,8,8,26.92513108253479,S3ab_rtd,8,budget exhausted,D
1,0,0.002794428627518077,3.0570523592743815,80.0,0.0,0.0,8,8,29.698774099349976,S3ab_rtd,9,budget exhausted,D
1,0,0.0035732533361762346,7.2381881093877,80.0,0.0,0.0,8,8,27.188093900680542,S3ab_rtd,10,budget exhausted,D
1,0,0.0027257203418944143,39.90236255397901,80.0,0.0,0.0,8,8,27.15122890472412,S3ab_rtd,11,budget exhausted,D
1,0,0.001113381453599926,6.329805316626813,80.0,0.0,0.0,8,8,27.784289836883545,S3ab_rtd,12,budget exhausted,D
1,0,0.0020038842622162726,13.814321971040133,80.0,0.0,0.0,8,8,26.957995891571045,S3ab_rtd,13,budget exhausted,D
1,0,0.004345799766693111,2.846715549127121,80.0,0.0,0.0,8,8,33.90644979476929,S3ab_rtd,14,budget exhausted,D
1,0,0.003467130825216173,4.812418706286969,80.0,0.0,0.0,8,8,27.71092700958252,S3ab_rtd,15,budget exhausted,D
1,0,0.00496472610417163,6.3101856894209,80.0,0.0,0.0,8,8,27.993635892868042,S3ab_rtd,16,budget exhausted,D
1,0,0.0015690685689157258,40.88005797059129,80.0,0.0,0.0,8,8,26.442667722702026,S3ab_rtd,17,budget exhausted,D
1,0,0.004405586740476752,40.981542851482544,80.0,0.0,0.0,8,8,28.577699184417725,S3ab_rtd,18,budget exhausted,D
1,0,0.0018684323422695644,32.61155772844073,80.0,0.0,0.0,8,8,26.12253212928772,S3ab_rtd,19,budget exhausted,D
1,0,0.002720676673799502,6.581100414466001,80.0,0.0,0.0,8,8,27.165340900421143,S3ab_rtd,20,budget exhausted,D
1,0,0.0012302369448579694,9.162025707731036,80.0,0.0,0.0,8,8,27.879498958587646,S3ab_rtd,21,budget exhausted,D
1,0,0.0017618600183615264,39.231737066337715,80.0,0.0,0.0,8,8,27.89643692970276,S3ab_rtd,22,budget exhausted,D
1,0,0.0043070521257159745,20.16556925175643,80.0,0.0,0.0,8,8,27.18412709236145,S3ab_rtd,23,budget exhausted,D
1,0,0.00553347781958683,18.825409018086468,80.0,0.0,0.0,8,8,29.193960189819336,S3ab_rtd,24,budget exhausted,D
1,0,0.00371526739120467,26.250407780214303,80.0,0.0,0.0,8,8,26.32683777809143,S3ab_rtd,25,budget exhausted,D
1,0,0.004622158146798202,19.02551394122267,80.0,0.0,0.0,8,8,28.045932054519653,S3ab_rtd,26,budget exhausted,D
1,0,0.0037333461037596946,2.600167949568122,80.0,0.0,0.0,8,8,27.865723133087158,S3ab_rtd,27,budget exhausted,D
1,0,0.0036701472232612566,40.52498638251467,80.0,0.0,0.0,8,8,28.59260606765747,S3ab_rtd,28,budget exhausted,D
1,0,0.004395621926570907,30.67638377653552,80.0,0.0,0.0,8,8,37.26234006881714,S3ab_rtd,29,budget exhausted,D
1,0,0.0032606305357577273,25.25773632615309,80.0,0.0,0.0,8,8,27.5034818649292,S3ab_rtd,30,budget exhausted,D
1,0,0.0025137240106499316,31.09422996614546,80.0,0.0,0.0,8,8,27.44183111190796,S3ab_rtd,31,budget exhausted,D
1,0,0.0015711983639947692,9.389047077500102,80.0,0.0,0.0,8,8,26.82180690765381,S3ab_rtd,32,budget exhausted,D
1,0,0.004203986279305378,40.58652616038678,80.0,0.0,0.0,8,8,27.917875051498413,S3ab_rtd,33,budget exhausted,D
1,0,0.0030902343321976564,2.8217892114491328,80.0,0.0,0.0,8,8,27.208265781402588,S3ab_rtd,34,budget exhausted,D
1,0,0.0019604158799492897,7.103460845448728,80.0,0.0,0.0,8,8,27.40468120574951,S3ab_rtd,35,budget exhausted,D
1,0,0.0019073222114997773,7.196426858367522,80.0,0.0,0.0,8,8,27.178602933883667,S3ab_rtd,36,budget exhausted,D
1,0,0.0036060970073049756,5.579909625699675,80.0,0.0,0.0,8,8,27.784726858139038,S3ab_rtd,37,budget exhausted,D
1,0,0.005898665675846594,4.795675608980021,80.0,0.0,0.0,8,8,28.264793872833252,S3ab_rtd,38,budget exhausted,D
1,0,0.0018323940125177598,39.79856741610088,80.0,0.0,0.0,8,8,27.722559928894043,S3ab_rtd,39,budget exhausted,D
1,0,0.0021513792841382426,17.561431610588564,80.0,0.0,0.0,8,8,28.84322190284729,S3ab_rtd,40,budget exhausted,D
1,0,0.0006742076250594702,21.440746605320427,102.0,22.0,14.0,8,8,125.93769383430481,S3ab_rtd,1,budget exhausted,F
1,0,0.0009660724525511441,5.418184869711817,98.0,18.0,12.0,8,8,124.03328704833984,S3ab_rtd,2,budget exhausted,F
1,0,0.0013141671661228318,39.46075260413886,90.0,10.0,3.0,8,8,125.82586789131165,S3ab_rtd,3,budget exhausted,F
1,0,0.0010112226133052523,8.266204659011954,90.0,10.0,3.0,8,8,122.97496271133423,S3ab_rtd,4,budget exhausted,F
1,0,0.0018721065030553523,15.220649113659302,111.0,31.0,18.0,8,8,122.32844424247742,S3ab_rtd,5,budget exhausted,F
1,0,0.0012809149266756878,7.942092642147314,110.0,30.0,12.0,8,8,125.6910080909729,S3ab_rtd,6,budget exhausted,F
1,0,0.0022972673616289976,9.330198093853138,101.0,21.0,6.0,8,8,128.93628811836243,S3ab_rtd,7,budget exhausted,F
1,0,0.0004807667182744943,14.595198516260455,96.0,16.0,5.0,8,8,121.14484882354736,S3ab_rtd,8,budget exhausted,F
1,0,0.000805635545307039,3.916233439451,109.0,29.0,11.0,8,8,125.23888897895813,S3ab_rtd,9,budget exhausted,F
1,0,0.0007689843164772383,17.26102829071603,110.0,30.0,18.0,8,8,124.45331501960754,S3ab_rtd,10,budget exhausted,F
1,0,0.0009084711965283701,26.866956138979447,91.0,11.0,1.0,8,8,128.09293413162231,S3ab_rtd,11,budget exhausted,F
