scenario_id,catalyst,geometry,temp_C,C_EGDA_feed_M,C_catalyst_feed_M,Q_total_mL_min,tau_s,C_EGMA_peak_M,Y_EGMA_peak,x_peak_m,tau_peak_s,x_peak_over_L,tau_peak_over_tau_out,peak_is_interior,peak_is_at_outlet,remaining_length_after_peak_m,remaining_time_after_peak_s,EGMA_increasing_at_outlet,peak95_start_x_m,peak95_end_x_m,peak95_width_m,peak95_width_over_L,peak95_start_tau_s,peak95_end_tau_s,peak95_width_s
70fb75c05747522e,H2SO4,A,25,0.4,0.3,10,4.52389342117,3.30175099e-05,0.000165087549,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
3070deaff90868a5,H2SO4,A,25,0.5,0.3,2,22.6194671058,0.000204736899,0.000818947594,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
64817d5fe127d457,H2SO4,A,25,0.5,0.3,4,11.3097335529,0.000102398879,0.000409595518,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
02be0d29cfa75931,H2SO4,A,25,0.5,0.3,6,7.53982236862,6.82726833e-05,0.000273090733,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
3b330dbe7b8429fa,H2SO4,A,25,0.5,0.3,8,5.65486677646,5.1207049e-05,0.000204828196,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
de14b982e8a99829,H2SO4,A,25,0.5,0.3,10,4.52389342117,4.09668568e-05,0.000163867427,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
8f0d8524f51e2eaf,H2SO4,A,25,0.1,0.4,2,22.6194671058,5.52103991e-05,0.00110420798,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
9ff9422e16174704,H2SO4,A,25,0.1,0.4,4,11.3097335529,2.76162382e-05,0.000552324763,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
e533a7e7ae63bf54,H2SO4,A,25,0.1,0.4,6,7.53982236862,1.84132792e-05,0.000368265584,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
7375cc7be16076b2,H2SO4,A,25,0.1,0.4,8,5.65486677646,1.38108796e-05,0.000276217593,0.06,5.65486678,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,5.37212344,5.65486678,0.28274334
d5a322301195f90b,H2SO4,A,25,0.1,0.4,10,4.52389342117,1.10491455e-05,0.000220982909,0.06,4.52389342,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,4.29769875,4.52389342,0.22619467
bccb261b44a49279,H2SO4,A,25,0.2,0.4,2,22.6194671058,0.000109619009,0.00109619009,0.06,22.6194671,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,21.4884938,22.6194671,1.1309733
6db2580c10d48da8,H2SO4,A,25,0.2,0.4,4,11.3097335529,5.48312765e-05,0.000548312765,0.06,11.3097336,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,10.7442469,11.3097336,0.5654867
038718557a2b3273,H2SO4,A,25,0.2,0.4,6,7.53982236862,3.65590238e-05,0.000365590238,0.06,7.53982237,1,1,False,True,0,0,True,0.057,0.06,0.003,0.05,7.16283125,7.53982237,0.37699112
