catalyst,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,scenario_id_A,scenario_id_B,Da1_A,Da1_B,absolute_log_Da1_distance,exact_Da1_match,tau_A_s,tau_B_s,X_EGDA_A,X_EGDA_B,delta_X_EGDA_B_minus_A,Y_EGMA_A,Y_EGMA_B,delta_Y_EGMA_B_minus_A,S_EGMA_A,S_EGMA_B,delta_S_EGMA_B_minus_A,matching_method
H2SO4,25,0.3,0.2,8304e56596292824,8af874118ba41996,0.000208135760876,0.0140491638591,4.21212759788,False,5.65486677646,381.703507411,0.000209413170693,0.014037235801,0.0138278226303,0.00020940338395,0.0139929440774,0.0137835406934,0.999953265867,0.99684469761,-0.0031085682568,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.2,f130cacb0f5d5711,8f936e2c2d3134be,0.000166508608701,0.0561966554365,5.82156551031,False,4.52389342117,1526.81402964,0.000167534051441,0.0549755038951,0.0548079698436,0.000167527787792,0.0542811908787,0.0541136630909,0.999962612684,0.987370502002,-0.0125921106828,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.3,c3a6950560bc48c2,3e0ed7c45ae0e050,0.000832543043504,0.0280983277183,3.51898041732,False,22.6194671058,763.407014822,0.000831291906643,0.0276764874214,0.0268451955148,0.000831137639408,0.0275030676201,0.0266719299807,0.999814424713,0.993734038622,-0.00608038609092,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.3,82d9873c2af552e4,3e5081646b2178b1,0.000416271521752,0.0112393310873,3.295836866,False,11.3097335529,305.362805929,0.000415732603877,0.0111641603278,0.0107484277239,0.00041569402916,0.0111361860392,0.01072049201,0.999907212673,0.997494277419,-0.00241293525389,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.3,3d086a11e9820f39,2612ad67ab8ee163,0.000277514347835,0.0187322184788,4.21212759788,False,7.53982236862,508.938009882,0.000277174328483,0.018537411159,0.0182602368306,0.000277157182959,0.0184599859324,0.0181828287494,0.99993814173,0.995823298843,-0.00411484288737,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.3,3128e5cb5c8ae67c,f0e416f26ca95f37,0.000208135760876,0.0140491638591,4.21212759788,False,5.65486677646,381.703507411,0.000207887969097,0.0139356167994,0.0137277288303,0.0002078783244,0.0138919663519,0.0136840880275,0.999953606276,0.996867706102,-0.00308590017404,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.3,3d491f9710bdc9e5,da4736ffb3123b76,0.000166508608701,0.0561966554365,5.82156551031,False,4.52389342117,1526.81402964,0.000166313842323,0.0545847702541,0.0544184564118,0.000166307669587,0.0539004360099,0.0537341283403,0.999962885013,0.987462908773,-0.01249997624,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.4,11f8cd48021bd747,c25be2bbdd333f45,0.000832543043504,0.0280983277183,3.51898041732,False,22.6194671058,763.407014822,0.000825194655604,0.027475877158,0.0266506825024,0.000825042644343,0.0273049804014,0.026479937757,0.99981578739,0.993780116441,-0.00603567094978,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.4,178c03b6f596721e,c2bc58d2e02f8e94,0.000416271521752,0.0112393310873,3.295836866,False,11.3097335529,305.362805929,0.000412682790447,0.0110826442064,0.010669961416,0.000412644779679,0.0110550781128,0.0106424333331,0.999907893498,0.997512679002,-0.0023952144958,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.4,d4d11bd2053c47ec,0f758506c11f5880,0.000277514347835,0.0187322184788,4.21212759788,False,7.53982236862,508.938009882,0.00027514085561,0.0184024979347,0.0181273570791,0.000275123960755,0.0183262009954,0.0180510770347,0.999938595612,0.995853990066,-0.00408460554599,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.4,5bec66b4dfe12293,8e20825ce5345822,0.000208135760876,0.0140491638591,4.21212759788,False,5.65486677646,381.703507411,0.00020636276546,0.013833988656,0.0136276258906,0.000206353261771,0.0137909748323,0.0135846215705,0.999953946688,0.996890714254,-0.00306323243395,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.4,70fb75c05747522e,a41804d4801501da,0.000166508608701,0.0561966554365,5.82156551031,False,4.52389342117,1526.81402964,0.000165093631899,0.0541938974561,0.0540288038242,0.000165087549411,0.0535194711919,0.0533543836425,0.99996315734,0.987555309807,-0.0124078475326,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
H2SO4,25,0.3,0.5,3070deaff90868a5,e514dcc2ad124bbe,0.000832543043504,0.0280983277183,3.51898041732,False,22.6194671058,763.407014822,0.000819097368556,0.0272752309176,0.026456133549,0.000818947594454,0.0271068388987,0.0262878913042,0.999817147377,0.993826192731,-0.00599095464612,minimum_cost_one_to_one_on_log_Da1_within_shared_feed_and_temperature
