scenario_id,catalyst,geometry,temp_C,C_catalyst_feed_M,C_EGDA_feed_M,Q_total_mL_min,X_EGDA,Y_EGMA,S_EGMA,Y_EG,STY_EGMA_mol_Lreactor_h,physical_valid,study_max_feasible_Y_EGMA,near_optimal_fraction_of_max,available_one_step_neighbors,feasible_one_step_neighbors,feasible_neighbor_fraction
b7c756a8f4f0170a,NaOH,B,25,0.2,0.2,10,0.751418696219,0.52139712996,0.693883626509,0.23002156626,0.61468837447,False,0.521825508933,0.999179076212,6,3,0.5
0f1ff773977ef8c5,NaOH,B,25,0.3,0.3,2,0.760912754461,0.521825508933,0.685788884301,0.239087245529,0.184558020302,False,0.521825508933,1,6,4,0.666666666667
2278f2cf9d20a376,NaOH,B,25,0.3,0.3,4,0.760911615286,0.521825479376,0.685789872165,0.23908613591,0.369116019854,False,0.521825508933,0.999999943358,7,5,0.714285714286
5934f45492faf61a,NaOH,B,25,0.3,0.3,6,0.76084465949,0.52182373274,0.685847927341,0.23902092675,0.55367217651,False,0.521825508933,0.999996596195,7,5,0.714285714286
4e032abbac3cc1a6,NaOH,B,25,0.3,0.3,8,0.760385578335,0.521811259832,0.686245603151,0.238574318503,0.738211923467,False,0.521825508933,0.999972693744,7,5,0.714285714286
dc5bbdb627c25b2b,NaOH,B,25,0.3,0.3,10,0.759107161309,0.521771971303,0.687349557345,0.237335190006,0.922695426717,False,0.521825508933,0.999897403196,6,4,0.666666666667
4d851ea2d0e04c4d,NaOH,B,25,0.4,0.4,2,0.760912754462,0.521825508924,0.685788884289,0.239087245538,0.246077361031,False,0.521825508933,0.999999999983,6,5,0.833333333333
9febfbd5eaea1ecc,NaOH,B,25,0.4,0.4,4,0.760912735401,0.52182550843,0.685788900819,0.239087226971,0.492154722062,False,0.521825508933,0.999999999036,7,6,0.857142857143
8b2a02824879e307,NaOH,B,25,0.4,0.4,6,0.760908300558,0.521825393332,0.685792746576,0.239082907226,0.738231920401,False,0.521825508933,0.999999778469,7,6,0.857142857143
e73d6f9515c1cf82,NaOH,B,25,0.4,0.4,8,0.760844659486,0.521823732731,0.685847927334,0.239020926754,0.984306095975,False,0.521825508933,0.999996596178,7,6,0.857142857143
c9b5fa0014938721,NaOH,B,25,0.4,0.4,10,0.760562751656,0.521816176238,0.686092206201,0.238746575419,1.23036479462,False,0.521825508933,0.999982115296,6,5,0.833333333333
435dc88ce37c7d16,NaOH,B,25,0.4,0.5,2,0.648972346888,0.497944693776,0.767281835912,0.151027653112,0.293519848586,False,0.521825508933,0.954236014247,5,5,1
f521066148865714,NaOH,B,25,0.4,0.5,4,0.648972346884,0.497944693775,0.767281835915,0.151027653109,0.587039697172,False,0.521825508933,0.954236014244,6,6,1
53a954804255c0e2,NaOH,B,25,0.4,0.5,6,0.648972328665,0.49794468709,0.767281847154,0.151027641575,0.880559538684,False,0.521825508933,0.954236001433,6,6,1
6a196d6790e565a8,NaOH,B,25,0.4,0.5,8,0.648971202245,0.497944273776,0.767282542051,0.151026928469,1.17407840405,False,0.521825508933,0.95423520938,6,6,1
8fb785896bfbd8ed,NaOH,B,25,0.4,0.5,10,0.648958622153,0.49793965761,0.767290302666,0.151018964544,1.46758440026,False,0.521825508933,0.954226363192,5,5,1
63fd4cd8bd063f2c,NaOH,B,25,0.5,0.5,2,0.760912754457,0.521825508915,0.685788884282,0.239087245543,0.30759670011,False,0.521825508933,0.999999999966,4,4,1
8bc1909faf1d8285,NaOH,B,25,0.5,0.5,4,0.760912754139,0.521825508907,0.685788884558,0.239087245232,0.61519340022,False,0.521825508933,0.99999999995,5,5,1
2bb271201b46c17c,NaOH,B,25,0.5,0.5,6,0.760912463086,0.521825501356,0.685789136952,0.23908696173,0.922790086182,False,0.521825508933,0.999999985479,5,5,1
9f5dd09ef07bd44f,NaOH,B,25,0.5,0.5,8,0.760903947648,0.521825280274,0.685796521213,0.239078667374,1.23038626285,False,0.521825508933,0.99999956181,5,5,1
88fe2338b6907bec,NaOH,B,25,0.5,0.5,10,0.760844659481,0.521823732722,0.685847927326,0.239020926759,1.53797826612,False,0.521825508933,0.99999659616,4,4,1
0980a2a9eab74e21,NaOH,B,40,0.1,0.1,2,0.757216454847,0.51443291044,0.679373654847,0.242783544407,0.0606478077894,False,0.521825508933,0.985833198328,5,3,0.6
