x_m,C_EGMA_T40C,C_EGMA_T60C,C_EGMA_T80C,C_EGMA_T100C,C_EGMA_T120C,C_EGMA_T150C,C_EGMA_T180C
3.99000000e-02,1.11248573e-04,3.93723669e-04,1.19711349e-03,3.16297076e-03,7.22650132e-03,1.77369620e-02,2.31083561e-02
4.02000000e-02,1.12083653e-04,3.96666440e-04,1.20594784e-03,3.18553826e-03,7.27393833e-03,1.78141282e-02,2.30775854e-02
4.05000000e-02,1.12918713e-04,3.99608951e-04,1.21477973e-03,3.20808812e-03,7.32127917e-03,1.78906387e-02,2.30456212e-02
4.08000000e-02,1.13753752e-04,4.02551200e-04,1.22360916e-03,3.23062035e-03,7.36852399e-03,1.79664967e-02,2.30124876e-02
4.11000000e-02,1.14588770e-04,4.05493189e-04,1.23243613e-03,3.25313496e-03,7.41567293e-03,1.80417059e-02,2.29782082e-02
4.14000000e-02,1.15423768e-04,4.08434915e-04,1.24126063e-03,3.27563196e-03,7.46272614e-03,1.81162695e-02,2.29428064e-02
4.17000000e-02,1.16258746e-04,4.11376381e-04,1.25008268e-03,3.29811136e-03,7.50968374e-03,1.81901911e-02,2.29063052e-02
4.20000000e-02,1.17093703e-04,4.14317586e-04,1.25890227e-03,3.32057317e-03,7.55654590e-03,1.82634739e-02,2.28687274e-02
4.23000000e-02,1.17928639e-04,4.17258530e-04,1.26771940e-03,3.34301740e-03,7.60331275e-03,1.83361215e-02,2.28300952e-02
4.26000000e-02,1.18763555e-04,4.20199212e-04,1.27653408e-03,3.36544406e-03,7.64998444e-03,1.84081370e-02,2.27904307e-02
4.29000000e-02,1.19598451e-04,4.23139634e-04,1.28534630e-03,3.38785316e-03,7.69656110e-03,1.84795240e-02,2.27497557e-02
4.32000000e-02,1.20433326e-04,4.26079794e-04,1.29415606e-03,3.41024472e-03,7.74304288e-03,1.85502857e-02,2.27080915e-02
4.35000000e-02,1.21268180e-04,4.29019693e-04,1.30296337e-03,3.43261874e-03,7.78942993e-03,1.86204254e-02,2.26654592e-02
4.38000000e-02,1.22103014e-04,4.31959331e-04,1.31176822e-03,3.45497523e-03,7.83572237e-03,1.86899465e-02,2.26218796e-02
4.41000000e-02,1.22937827e-04,4.34898709e-04,1.32057061e-03,3.47731421e-03,7.88192037e-03,1.87588522e-02,2.25773733e-02
4.44000000e-02,1.23772620e-04,4.37837825e-04,1.32937055e-03,3.49963568e-03,7.92802405e-03,1.88271457e-02,2.25319603e-02
4.47000000e-02,1.24607393e-04,4.40776680e-04,1.33816804e-03,3.52193966e-03,7.97403356e-03,1.88948305e-02,2.24856606e-02
4.50000000e-02,1.25442145e-04,4.43715275e-04,1.34696307e-03,3.54422615e-03,8.01994904e-03,1.89619096e-02,2.24384938e-02
4.53000000e-02,1.26276876e-04,4.46653608e-04,1.35575566e-03,3.56649517e-03,8.06577063e-03,1.90283863e-02,2.23904792e-02
4.56000000e-02,1.27111587e-04,4.49591681e-04,1.36454579e-03,3.58874673e-03,8.11149847e-03,1.90942638e-02,2.23416359e-02
4.59000000e-02,1.27946277e-04,4.52529492e-04,1.37333346e-03,3.61098083e-03,8.15713270e-03,1.91595454e-02,2.22919824e-02
4.62000000e-02,1.28780947e-04,4.55467043e-04,1.38211869e-03,3.63319749e-03,8.20267346e-03,1.92242341e-02,2.22415375e-02
4.65000000e-02,1.29615597e-04,4.58404333e-04,1.39090147e-03,3.65539671e-03,8.24812090e-03,1.92883332e-02,2.21903191e-02
4.68000000e-02,1.30450225e-04,4.61341362e-04,1.39968179e-03,3.67757852e-03,8.29347515e-03,1.93518459e-02,2.21383454e-02
4.71000000e-02,1.31284834e-04,4.64278130e-04,1.40845967e-03,3.69974291e-03,8.33873635e-03,1.94147751e-02,2.20856339e-02
4.74000000e-02,1.32119422e-04,4.67214637e-04,1.41723510e-03,3.72188990e-03,8.38390465e-03,1.94771242e-02,2.20322020e-02
4.77000000e-02,1.32953989e-04,4.70150884e-04,1.42600808e-03,3.74401950e-03,8.42898018e-03,1.95388961e-02,2.19780669e-02
4.80000000e-02,1.33788536e-04,4.73086870e-04,1.43477861e-03,3.76613171e-03,8.47396307e-03,1.96000940e-02,2.19232454e-02
4.83000000e-02,1.34623062e-04,4.76022595e-04,1.44354669e-03,3.78822656e-03,8.51885348e-03,1.96607210e-02,2.18677543e-02
4.86000000e-02,1.35457568e-04,4.78958059e-04,1.45231233e-03,3.81030405e-03,8.56365154e-03,1.97207801e-02,2.18116098e-02
4.89000000e-02,1.36292054e-04,4.81893263e-04,1.46107552e-03,3.83236419e-03,8.60835738e-03,1.97802743e-02,2.17548282e-02
4.92000000e-02,1.37126518e-04,4.84828206e-04,1.46983626e-03,3.85440698e-03,8.65297115e-03,1.98392068e-02,2.16974253e-02
4.95000000e-02,1.37960963e-04,4.87762888e-04,1.47859456e-03,3.87643245e-03,8.69749298e-03,1.98975805e-02,2.16394168e-02
4.98000000e-02,1.38795387e-04,4.90697309e-04,1.48735042e-03,3.89844060e-03,8.74192302e-03,1.99553984e-02,2.15808180e-02
5.01000000e-02,1.39629790e-04,4.93631470e-04,1.49610383e-03,3.92043145e-03,8.78626140e-03,2.00126636e-02,2.15216443e-02
5.04000000e-02,1.40464173e-04,4.96565371e-04,1.50485479e-03,3.94240499e-03,8.83050825e-03,2.00693790e-02,2.14619105e-02
5.07000000e-02,1.41298535e-04,4.99499010e-04,1.51360332e-03,3.96436125e-03,8.87466373e-03,2.01255476e-02,2.14016313e-02
5.10000000e-02,1.42132877e-04,5.02432389e-04,1.52234940e-03,3.98630023e-03,8.91872795e-03,2.01811723e-02,2.13408213e-02
5.13000000e-02,1.42967199e-04,5.05365508e-04,1.53109304e-03,4.00822194e-03,8.96270107e-03,2.02362561e-02,2.12794948e-02
5.16000000e-02,1.43801499e-04,5.08298366e-04,1.53983423e-03,4.03012639e-03,9.00658321e-03,2.02908019e-02,2.12176658e-02
5.19000000e-02,1.44635780e-04,5.11230963e-04,1.54857299e-03,4.05201360e-03,9.05037452e-03,2.03448126e-02,2.11553482e-02
5.22000000e-02,1.45470040e-04,5.14163300e-04,1.55730930e-03,4.07388357e-03,9.09407512e-03,2.03982911e-02,2.10925556e-02
5.25000000e-02,1.46304279e-04,5.17095376e-04,1.56604318e-03,4.09573632e-03,9.13768517e-03,2.04512404e-02,2.10293015e-02
5.28000000e-02,1.47138498e-04,5.20027192e-04,1.57477462e-03,4.11757185e-03,9.18120479e-03,2.05036632e-02,2.09655990e-02
5.31000000e-02,1.47972697e-04,5.22958748e-04,1.58350361e-03,4.13939018e-03,9.22463412e-03,2.05555624e-02,2.09014611e-02
