scenario,strategy,seed,acquisition_index,z_m,z_over_L,reacquisition,T_C,Q1_mL_min,Q2_mL_min,Q_total_mL_min,C_EGDA_M,C_cat_M,qc_state,qc_flags,residual_rms,fit_condition_number,hardware_fault,spectrum_csv,c_EGDA_M,sigma_EGDA_M,c_EGMA_M,sigma_EGMA_M,c_EG_M,sigma_EG_M,c_AcOH_M,sigma_AcOH_M
S3_transport,E,7,58,0.191376,0.95688,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.20567972957769684,2.643953799620027,0,spectrum_E_acq0058_z0.1914m.csv,0.0060945508994335405,0.004448800234084888,0.0752295949126806,0.016171507744594235,0.41272352053615735,0.004918888912743932,0.9052993687397943,0.017024636868480627
S3_transport,E,7,66,0.18039999999999998,0.9019999999999998,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.23428263924141463,2.587911900677494,0,spectrum_E_acq0066_z0.1804m.csv,0.005461683652431953,0.004453987318404417,0.07919274299007142,0.016622087065267386,0.413890788787216,0.00494715655747312,0.9155101275480868,0.017200769064046332
S3_transport,E,7,73,0.049472,0.24736,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.4885125997416671,2.5183394543339617,0,spectrum_E_acq0073_z0.0495m.csv,0.16634688960277308,0.0055790526794682925,0.13015653815106853,0.023133644097363754,0.1790493550223746,0.0033459313263749933,0.5316797286535552,0.011403679786247022
S3_transport,E,7,80,0.2,1.0,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.34587015628498397,2.661648529321921,0,spectrum_E_acq0080_z0.2000m.csv,0.005027397629720378,0.004523725870668508,0.07135430766415306,0.015860227145026,0.41597177820353826,0.005123879648098948,0.9191398867345414,0.017344432251631955
S3_transport,F,7,1,0.004,0.02,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,"WARN nonnegativity active: EGMA,AcOH",0.23897224752948829,2.57490075674282,0,spectrum_F_acq0001_z0.0040m.csv,0.4960742314395983,0.010533708306779146,0.001564193528995341,0.011310664013169826,0.0004383578895301803,0.002111585856446109,-0.00022445737519570042,0.006132014251887249
S3_transport,F,7,9,0.19568799999999997,0.9784399999999999,0,40.0,0.5,0.5,1.0,1.0,0.5,WARN,WARN nonnegativity active: EGMA,0.43461581384212733,2.574928441315484,0,spectrum_F_acq0009_z0.1957m.csv,0.49351607047591933,0.0105356325237039,0.001564193528995341,0.01156308630018464,-0.0003441014450316519,0.0026465930947116387,0.0009067538493877164,0.0064924694456212646
S3_transport,F,7,17,0.08436,0.4218,0,160.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.349987161699133,2.559878947847556,0,spectrum_F_acq0017_z0.0844m.csv,0.08256943186035294,0.004773578808183425,0.10018094573242088,0.019181181321030843,0.29722341224648235,0.003998895456838144,0.7245504349942213,0.014196726880978002
S3_transport,F,7,25,0.13414399999999999,0.6707199999999999,0,130.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.24162110479614624,2.6249937426378103,0,spectrum_F_acq0025_z0.1341m.csv,0.12199138136589932,0.005041018002762788,0.1624970008786769,0.02746865888621428,0.20706322868100477,0.0030984046715216156,0.5868715454079205,0.011998973663723999
S3_transport,F,7,33,0.16276,0.8137999999999999,0,80.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.260757086250966,2.584229794554144,0,spectrum_F_acq0033_z0.1628m.csv,0.36085281937773867,0.008255758823396098,0.11751665334238127,0.0213582577250499,0.018117827586997183,0.0021763320746378875,0.14906437406413586,0.006698872283000051
S3_transport,F,7,41,0.069856,0.34928,0,160.0,0.25,0.25,0.5,1.0,0.5,PASS,,0.34078459553512813,2.5603824300026865,0,spectrum_F_acq0041_z0.0699m.csv,0.2173212629318825,0.006142405954157258,0.16572665890899638,0.027958295019047362,0.12491354187610296,0.0027111150981667395,0.4150212537768192,0.00962282864651097
S3_transport,F,7,49,0.19568799999999997,0.9784399999999999,0,160.0,0.25,0.25,0.5,1.0,0.5,PASS,,0.2462258854271957,2.583881072890444,0,spectrum_F_acq0049_z0.1957m.csv,0.05014561407403402,0.0045602311379819935,0.0988560346687153,0.018962623357149964,0.34113438255612233,0.004260868081446507,0.7982656817387384,0.015301460351946503
S3_transport,F,7,57,0.18627999999999997,0.9313999999999998,0,100.0,0.25,0.25,0.5,1.0,1.0,PASS,,0.28689241505309804,2.657035898327658,0,spectrum_F_acq0057_z0.1863m.csv,0.24142999607835253,0.006462276266653289,0.17153907131422802,0.028773824185546953,0.08079094911527382,0.002436079897449019,0.3431075090738383,0.008670318251157277
